S.No,Bank Name,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,EE JSV Division Hamirpur,EE JSV Division Hamirpur,1.0,CORRIGENDUM,Date,,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",No. EE-JSVD-CB-E-T-22-23-5092-5192,2022_HPIPH_60877_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Both(Online/Offline),No,No,No,"2,500",EE JSV Division Hamirpur,EE JSV Division Hamirpur,Yes,"9,09,395",No,fixed,,EE JSV Division Hamirpur,EE JSV Division Hamirpur,21-May-2022 11:00 AM,09-Jun-2022 11:30 AM,21-May-2022 11:00 AM,09-Jun-2022 11:00 AM,21-May-2022 11:00 AM ,09-Jun-2022 11:00 AM ,28-May-2022 03:00 PM,09-Jun-2022 11:00 AM,24-Jun-2022 11:15 AM,Providing water supply schame for Dr. Radha Krishan Medical collage Hamirpur at Jol Sapper in Tehsil Nadaun Distt. Hamirpur,Work/Item Description as per NIT,Please refer Tender documents. ,NA ,"8,76,89,279",Civil Works,NA ,Tender,180.0,365.0,JSV Sub Division Hamirpur,177001.0,In the Office of Chief Engineer Jal Shakti Vibhag  ,In the Office of Chief Engineer Jal Shakti Vibhag Hamirpur Zone Hamirpur. ,30-May-2022 03:30 PM ,EE JSV Division Hamirpur,No ,No,1.0,Fee,.pdf,(i) The earnest money as per NIT Condition No.-2-i,AOC,EE JSV Division Hamirpur,Internal,As per eligibility criteria approved in the minutes of meeting held on 23.06.2022 in the chamber of the Chief Engineer JS Department Hamirpur vide No 9343-46-dated 23.06.2022,Rakesh Kumar Thakur,24-Jun-2022 11:11 AM,24-Jun-2022 11:15 AM,techsummary_91931.pdf (929.67 KB),1.0,285960.0,Dogra Construction Company Pvt Ltd,09-Jun-2022 09:49 AM,Rejected-AOC,L4,12-Oct-2022 05:58 PM,12-Oct-2022,"INR 81,760,516",365.0,Rakesh Kumar Thakur,12-Oct-2022 05:56 PM,AOC.pdf (820.00 KB),AOC,Finance,As per eligibility criteria approved in the minutes of meeting held on 23.06.2022 in the chamber of the Chief Engineer JS Department Hamirpur vide No 9343-46-dated 23.06.2022,Rakesh Kumar Thakur,24-Jun-2022 11:35 AM,finance_91931.pdf,BOQ Comparative Chart,Technical,As per eligibility criteria approved in the minutes of meeting held on 23.06.2022 in the chamber of the Chief Engineer JS Department Hamirpur vide No 9343-46-dated 23.06.2022,Rakesh Kumar Thakur,24-Jun-2022 11:07 AM,technical_91931.pdf,EE JSV Division Hamirpur,Internal,As per eligibility criteria approved in the minutes of meeting held on 23.06.2022 in the chamber of the Chief Engineer JS Department Hamirpur vide No 9343-46-dated 23.06.2022,Rakesh Kumar Thakur,24-Jun-2022 11:40 AM,finsummary_91931.pdf (929.67 KB),1.0,285815.0,MS Kamal Dev Sharma,INR,"81,760,516","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",2022_HPIPH_60877_1,No. EE-JSVD-CB-E-T-22-23-5092-5192,Providing water supply schame for Dr. Radha Krishan Medical collage Hamirpur at Jol Sapper in Tehsil Nadaun Distt. Hamirpur,AOC
2.0,ICICI NEFT/RTGS,,,2.0,Pre bid CORRIGENDUM,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The cost of tender form as per NIT Condition No.-2-ii,AOC,,,,,,,,2.0,285815.0,MS Kamal Dev Sharma,09-Jun-2022 07:11 AM,Accepted-AOC,AOC,12-Oct-2022 05:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration as per NIT Condition No.-2-iii,AOC,,,,,,,,3.0,285558.0,SS RANA CONSTRUCTION PRIVATE LIMITED,09-Jun-2022 09:44 AM,Rejected-AOC,L3,12-Oct-2022 05:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of EPF registration as per NIT Condition No.-2-iv,AOC,,,,,,,,4.0,285895.0,Thakur Constructions,09-Jun-2022 10:12 AM,Rejected-AOC,L2,12-Oct-2022 05:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Pre-qualification criteria proof as per NIT Condition No.-3-a-b with note i to iii,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,d) PAN - GST registration and EPF registration.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,e) Work done Experience Certificates as per Pre-qualification criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding DSC A scanned copy of undertaking as per NIT condition No 3-f-g,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Cover-2 shall contain Technical bid as per NIT Condition No.-4-a-b-c,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ where bidder-/firms shall quote his -their offer for each item.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
