Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
17-Oct-2022,"INR 6,643,960",180.0,Puneet Chaudhary,17-Oct-2022 02:14 PM,POACDBJVV485.pdf (6633.00 KB),L1,Finance,price bids of responsive bidders has been opened,Narender Pal Abrol,13-Jan-2022 03:49 PM,finance_78563.pdf,BOQ Comparative Chart,Technical,Technocommercial bids have been opened,Narender Pal Abrol,09-Dec-2021 04:24 PM,technical_78563.pdf,SE Design,Internal,SE Design XEN AE,Narender Pal Abrol,13-Jan-2022 03:16 PM,13-Jan-2022 03:20 PM,techsummary_78563.pdf (194.36 KB),1.0,247755.0,JVV Electrotech Pvt Ltd,09-Dec-2021 11:34 AM,Accepted-AOC,L1,17-Oct-2022 02:15 PM,HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2021_HPSEB_52553_1,SSD 485/2021,SSD 485/2021,1.0,247755.0,JVV Electrotech Pvt Ltd,INR,"6,643,907",Er. KK Bhardwaj,Internal,"SE, Sr. XEN, AE, AAO",Puneet Chaudhary,17-Oct-2022 01:47 PM,finsummary_78563.pdf (191.64 KB),AOC,HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD 485/2021,2021_HPSEB_52553_1,Yes,Open Tender,Fixed-rate,Goods,2.0,No,No,Online,No,No,No,21-Sep-2021 03:25 PM,09-Dec-2021 03:00 PM,21-Sep-2021 03:30 PM,09-Dec-2021 01:00 PM,NA ,NA ,09-Oct-2021 09:00 AM,09-Dec-2021 01:00 PM,13-Jan-2022 03:20 PM,1.0,ICICI BANK,"45,000",No,percentage,1.0%,Nil,Nil,Er. K. K. Bhardwaj,"Superintending Engineer (Design), Electrical System, HPSEB Ltd., Hamirpur-177001",SSD 485/2021,"DESIGN, MANUFACTURE, TESTING AT MANUFACTURERS WORKS AND DELIVERY AT F.O.R. DESTINATION STATIONS AND SUPERVISION OF ERECTION, TESTING AND COMMISSIONING OF ACDBs FOR VARIOUS SUB -STATIONS IN HIMACHAL PRADESH.",Please refer Tender documents. ,NA ,"45,00,000",Electrical Work/ Equipment,NA ,Tender,240.0,180.0,ACDBs FOR VARIOUS SUB -STATIONS IN HIMACHAL PRADES,177001.0,Hamirpur ,"Superintending Engineer (Design), Electrical System, HPSEB Ltd., Hamirpur-177001 ",27-Sep-2021 09:00 AM ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,1.0,Corrigendum4,Date,,"10,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,248225.0,Ultima Switchgears Limited,09-Dec-2021 11:13 AM,Rejected-Finance,L2,17-Oct-2022 01:47 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Test Reports,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Past Supplies,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,GTPs and Technocommercial Schedule,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvency and bid capacity etc.",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Form and Tender Performa,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PERFORMANCE CERTIFICATE OF OFFERED RATING OF SAME /HIGHER VOLTAGE CLASS EQUIPMENTS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Main BOQ,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Detailed BOQ to be uploaded with main BOQ in zipped file,,,,,,,,,AOC
