Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Finance,STANDARD CREATION emerged as the lowest most substantive and responsive bidder among all other bidder with Bid of Rs 4352859 (-10 percentage),Subodh Talukdar,05-Sep-2022 04:26 PM,finance_40188.pdf,BOQ Comparative Chart,"Rajen Choudhury, IFS",Internal,"A.S. Arief, DCF S.Talukdar, AFS, Abinash Basumatary, ACF",Subodh Talukdar,05-Sep-2022 04:37 PM,finsummary_40188.pdf (1496.74 KB),"Rajen Choudhury, IFS, CF, LASFC, Bongaigaon",Internal,"A.S. Arief, DCF S.Talukdar, AFS Abinash Basumatary, ACF",Subodh Talukdar,05-Aug-2022 06:49 PM,06-Aug-2022 11:00 AM,techsummary_40188.pdf (257.77 KB),1.0,153160.0,STANDARD CREATION,INR,4352859.0,19-Oct-2022,INR 4352859.0,365.0,Abinash Basumatary,26-Oct-2022 01:42 PM,RakhalthakurWorkOrder.pdf (1349.00 KB),1,153128,AAKAR VISION AND COMMUNICATION,09-Jul-2022 02:11 PM,Not Admitted-Fee/PreQual/Technical,Others-Due to shortage of required documents,05-Aug-2022 05:36 PM,Technical,Technical Bid Evaluation Document,Subodh Talukdar,05-Aug-2022 05:36 PM,technical_40188.pdf,Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forests Social Forestry||Lower Assam Social Forestry Circle||Aie Valley Division,2022_PCCF_26026_1,Fencing against 50 Ha AR Pltn at Rakhalthakur,50 Ha AR Plantation at Rakhalthakur,AOC,21-Jun-2022 01:00 PM,11-Jul-2022 01:00 PM,21-Jun-2022 01:00 PM,11-Jul-2022 11:00 AM,NA ,NA ,21-Jun-2022 01:00 PM,11-Jul-2022 11:00 AM,06-Aug-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Technical Document,50 Ha AR Plantation at Rakhalthakur,"Fencing work against 50 Ha AR Plantation at Rakhalthakur under CAMPA Scheme , Total Perimeter is 2835 RM as per detail plan and estimate and other terms and condition mentioned in the Bid document.",As per Standard Bid Document ,NA ,"48,36,510",Agricultural or Forestry,Assam Forest Department ,Tender,23.0,365.0,Rakhalthakur RF,783384.0,"In the Chamber of the CF, LASFC, Bongaigaon ","O/o of the CF, LASFC, Bongaigaon ",22-Jun-2022 10:00 AM ,"In the Chamber of the CF, LASFC, Bongaigaon",No ,No,Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forests Social Forestry||Lower Assam Social Forestry Circle||Aie Valley Division,Fencing against 50 Ha AR Pltn at Rakhalthakur,2022_PCCF_26026_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,500.0,Nil,Nil,No,"96,730",Yes,percentage,2.0%,Nil,Nil,"Conservator of Forests, LASFC, Bongaigaon","CF, LASFC, Bongaigaon",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,153135,FIROZ AHMED,09-Jul-2022 04:35 PM,Not Admitted-Finance,Not qualified for AOC,05-Sep-2022 04:26 PM,,,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,152501,J D ASSOCIATES,04-Jul-2022 09:56 PM,Not Admitted-Finance,Not qualified for AOC,05-Sep-2022 04:26 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,153142,Jibon kishore Ray,10-Jul-2022 07:55 PM,Not Admitted-Fee/PreQual/Technical,Others-Due to shortage of required documents,05-Aug-2022 05:36 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,153141,Kurban Ali Ahmed,10-Jul-2022 02:47 PM,Not Admitted-Fee/PreQual/Technical,Others-Due to shortage of required documents,05-Aug-2022 05:36 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,152637,M/S DEEPA ENTERPRISE,08-Jul-2022 01:57 PM,Not Admitted-Fee/PreQual/Technical,Others-Due to shortage of required documents,05-Aug-2022 05:36 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,153137,NIRMAL KUMAR SINGHA,10-Jul-2022 02:34 PM,Not Admitted-Finance,Not qualified for AOC,05-Sep-2022 04:26 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,153157,PADMAVATI CONSTRUCTION,11-Jul-2022 10:51 AM,Not Admitted-Finance,Not qualified for AOC,05-Sep-2022 04:26 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,152379,Sri Dhireswar Nath,11-Jul-2022 04:16 AM,Not Admitted-Fee/PreQual/Technical,Others-Due to shortage of required documents,05-Aug-2022 05:36 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,153160,STANDARD CREATION,09-Jul-2022 08:23 PM,Accepted-AOC,Technical and Financial bid are found to be qualified as per criteria of e-tender,26-Oct-2022 01:42 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
