Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Bid opening summary,Sudhir Kumar Gupta,28-Jun-2022 05:14 PM,finance_92783.pdf,BOQ Comparative Chart,1.0,285999.0,Chaman Prakash Sharma,INR,"1,028,531",Technical,Bid opening summary,Naveen Singh Kaundal,24-Jun-2022 02:01 PM,technical_92783.pdf,1.0,285999.0,Chaman Prakash Sharma,12-Jun-2022 08:47 PM,Accepted-AOC,L1 Bidder,03-Oct-2022 04:23 PM,Er Suresh Kumar Chandel EE,Internal,Sh Rajesh Chauhan DAO Sh Ram Sawaroop Supdt Sh Amar Nath Arrora HDM,Parveen Kumar Verma,28-Jun-2022 05:42 PM,finsummary_92783.pdf (178.95 KB),03-Oct-2022,"INR 999,603",30.0,Naveen Singh Kaundal,03-Oct-2022 04:23 PM,AOCRugr-Gawahiroad-II.pdf (1163.00 KB),AOC,PWD,2022_PWD_61483_2,PW-SRDD-CB-CTR-2022-5428-77 dt. 24-05-2022,Annual Repair and Maintenance on Rugra Gwahi Rangol Shalaghat Road Km. 0/00 to 14/00,Er Suresh Kumar Chandel,Internal,"Sh Rajesh Chauhan DAO, Sh Ram Swaroop Thakur Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,24-Jun-2022 02:27 PM,24-Jun-2022 03:00 PM,techsummary_92783.pdf (523.09 KB),AOC,06-Jun-2022 06:45 PM,15-Jun-2022 11:00 AM,06-Jun-2022 06:45 PM,14-Jun-2022 06:00 PM,NA ,NA ,06-Jun-2022 06:45 PM,14-Jun-2022 06:00 PM,24-Jun-2022 03:00 PM,500.0,Nil,Nil,No,"20,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,Shimla Rural Division HPPWD Dhami,Annual Repair and Maintenance on Rugra Gwahi Rangol Shalaghat Road Km. 0/00 to 14/00,SH- Repair of Pot Hole RDs 9/00 to 14/00 Balance Job No.-II.,as per tender documents ,NA ,"9,99,603",Civil Works - Roads,NA ,Tender,75.0,30.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,PWD,PW-SRDD-CB-CTR-2022-5428-77 dt. 24-05-2022,2022_PWD_61483_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,2.0,286731.0,Vidya Dutt Sharma,14-Jun-2022 02:41 PM,Rejected-Finance,L2 Bidder,28-Jun-2022 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand as Per General Rule 24.5,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),AOC
