Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Director-Cum-Warden of Fisheries||Assistant Director Fisheries - HPFD,2022_HPFD_65117_1,HPFD_4130_6,Supply/Establishment RAS DEMONSTRATION unit,Satpal Mehta,Internal,Balbir Singh Pankaj Thakur Chanchal Thakur Sandeep Kumar Sharma,Chanchal Thakur,11-Oct-2022 04:21 PM,finsummary_97982.pdf (657.99 KB),1.0,303990.0,Eco Paryavaran Engineers & Consultants Pvt Ltd,INR,"10,620,000",11-Oct-2022,"INR 10,618,500",365.0,Chanchal Thakur,11-Oct-2022 04:33 PM,AOCofRAS.PDF (308.00 KB),AOC for L1,1.0,303990.0,Eco Paryavaran Engineers & Consultants Pvt Ltd,29-Sep-2022 03:22 PM,Accepted-AOC,L1,11-Oct-2022 04:37 PM,Satpal Mehta,Internal,Balbir Singh Pankaj Thakur Chanchal Thakur,Chanchal Thakur,01-Oct-2022 01:42 PM,01-Oct-2022 01:50 PM,techsummary_97982.pdf (829.31 KB),Technical,Technical Summary,Chanchal Thakur,01-Oct-2022 01:38 PM,technical_97982.pdf,Finance,Financial Summary,Chanchal Thakur,11-Oct-2022 04:15 PM,finance_97982.pdf,BOQ Comparative Chart,AOC,Director cum Warden Fisheries HP,"Matsya Bhawan, Changer Sector, Directorate of Fisheries, Bilaspur-174001",1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Letter of auth in cas representative is sent to participate in the tender opening process,Director-Cum-Warden of Fisheries||Assistant Director Fisheries - HPFD,HPFD_4130_6,2022_HPFD_65117_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,500.0,Deputy Dirctor Fisheries HQ Bilaspur HP,Bilaspur HP,No,16-Sep-2022 05:00 PM,01-Oct-2022 11:30 AM,16-Sep-2022 05:00 PM,01-Oct-2022 11:00 AM,NA ,NA ,16-Sep-2022 05:00 PM,01-Oct-2022 11:00 AM,01-Oct-2022 01:50 PM,Supply/Establishment RAS DEMONSTRATION unit,Supply/Establishment RAS DEMONSTRATION unit for Trout Culture at Trout Fish Farm Patlikuhal Distt. Kullu H.P.,Please refer Tender documents. ,NA ,"1,06,18,500",Miscellaneous Goods,NA ,Tender,30.0,365.0,All over Himachal Pradesh,174001.0,NA ,NA ,NA ,Bilaspur HP-174001,No ,No,"5,00,000",No,fixed,,Director cum Warden Fisheries Himachal Pradesh,Bilaspur HP,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,305385.0,SR Builders and Exporters,01-Oct-2022 07:35 AM,Rejected-AOC,L2,11-Oct-2022 04:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,2.0,FDR - Fixed Deposit,,,.pdf,BD for Cost of Tender payable at Bilaspur HP drawn in fav of Deputy Director of Fisheries Bilaspu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,305311.0,S.R.Paryavaran Engineers Pvt. Ltd.,30-Sep-2022 03:49 PM,Rejected-AOC,L3,11-Oct-2022 04:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Bid Security in shape of FDR only duly pledged in fav of Director cum Warden Fisheries HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Registration under GST Act-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Income tax return for the assessment year 2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Proof regarding dealing in supply manufacturing or authorized dealership etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Complete Tender document including instructions to tenderers, Annexure I II and agreement duly etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Proof as mentioned at T and C 10 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An undertaking to the effect that firm company has not been blacklisted as stated above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
