Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",04-May-2022 06:00 PM,12-May-2022 11:00 AM,04-May-2022 06:00 PM,11-May-2022 06:00 PM,NA ,NA ,04-May-2022 06:10 PM,11-May-2022 06:00 PM,17-May-2022 06:35 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,"12,531",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,1.0,Corrigendum,Other,,Special Repair to High Court Building at Shimla (SH Construction of Milk Bar Counter on second floor of High Court Parking,Special Repair to High Court Building at Shimla (SH Construction of Milk Bar Counter on second floor of High Court Parking,As per SBD ,NA ,"6,26,555",Civil Works - Buildings,NA ,Tender,75.0,30.0,KotShera,171004.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,PWD,SD-III-CB-1719-36 dt. 27-04-2022,2022_PWD_60319_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,PWD,2022_PWD_60319_1,SD-III-CB-1719-36 dt. 27-04-2022,Special Repair to High Court Building at Shimla (SH Construction of Milk Bar Counter on second floor of High Court Parking,Parveen Kumar Verma,Internal,"R.S. Thakur, Supdt.,Padam Sharma DHDM, Deepak Sharma Sharma DAO, Parveen Kumar verma Exen.",Parveen Kumar Verma,17-May-2022 06:33 PM,17-May-2022 06:35 PM,techsummary_91157.pdf (439.71 KB),Parveen Kumar Verma Exen,Internal,"Padam Sharma, DHDM, R.S. Thakur, Supdt., Deepak Sharma Sr. DAO, Parveen Kumar Verma Exen.",Parveen Kumar Verma,20-May-2022 10:50 AM,finsummary_91157.pdf (327.39 KB),23-May-2022,"INR 598,455",30.0,Parveen Kumar Verma,13-Oct-2022 04:06 PM,AOC.pdf (576.00 KB),Award of contract,Finance,Financial Evaluation Summary,Parveen Kumar Verma,20-May-2022 10:43 AM,finance_91157.pdf,BOQ Comparative Chart,1.0,281691.0,pawan kumar,INR,"598,455.4",1.0,281691.0,pawan kumar,11-May-2022 12:44 PM,Accepted-AOC,L1,13-Oct-2022 04:07 PM,Technical,Bid Opening Summary,Parveen Kumar Verma,17-May-2022 06:29 PM,technical_91157.pdf,AOC
,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,281728.0,SHEEL CONSTRUCTION AND ENTERPRISES,INR,"639,819.04",2.0,281673.0,RAJINDER SINGH VERMA,11-May-2022 11:58 AM,Rejected-Finance,L3,20-May-2022 10:51 AM,,,,,,AOC
,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,281389.0,Ranjan Sood,10-May-2022 06:43 PM,Rejected-Finance,L2,20-May-2022 10:51 AM,,,,,,AOC
,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,281728.0,SHEEL CONSTRUCTION AND ENTERPRISES,11-May-2022 03:53 PM,Accepted-AOC,L4,13-Oct-2022 04:07 PM,,,,,,AOC
,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Proof of MachineryTools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in handcertificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
