Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
06-Sep-2022,"INR 10,866,054",180.0,Ram Krishan,29-Oct-2022 12:52 PM,Award.pdf.pdf (1720.00 KB),Award of contract,Technical,Bis opening summary,Ram Krishan,11-Jul-2022 11:17 AM,technical_92643.pdf,Finance,Bid opening summary,Ram Krishan,11-Jul-2022 02:12 PM,finance_92643.pdf,BOQ Comparative Chart,1.0,287391.0,Blue Star Limited,23-Jun-2022 03:08 PM,Rejected-Finance,Rejected,11-Jul-2022 02:53 PM,Er Surinder Kumar Vashisht SE(N),Internal,"Er Ram Krishan AE(E), Sh Desh Raj, Sh Vijay Kant Clerk, Miss Reenu JOA(IT)",Ram Krishan,11-Jul-2022 11:51 AM,11-Jul-2022 11:55 AM,techsummary_92643.pdf (2397.91 KB),"Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",2022_HIMUD_61369_1,HIMUDA/EDD/W-7/Vol-XI/330-43,Construction of Civil Hospital Building at Bharmour Distt Chamba,1.0,287998.0,COMPLETE COOLING SOLUTIONS LLP,INR,"10,866,054",Er Surinder Kumar Vashisht SE(N),Internal,"Er Ram Krishan AE(E), Sh Desh Raj, Sh vijay Kant Clerk, Miss Reenu, JOA(IT)",Ram Krishan,11-Jul-2022 02:53 PM,finsummary_92643.pdf (264.18 KB),AOC,Executive Engineer Electrical,HIMUDA Electrical Division Dharamshala Distt Kangra H.P.,1.0,Fee/PreQual/Technical,.pdf,Earnest Money and Cost of Tender (As per NIT),"2,73,765",Yes,fixed,,Nil,Nil,"5,900",Nil,Nil,Yes,Construction of Civil Hospital Building at Bharmour Distt Chamba,Sub Head Providing Variable refrigeration volume Flow based HVAC system,Please refer Tender documents. ,NA ,"1,36,88,227",Electrical Works,NA ,Tender,120.0,180.0,Bharmour Distt Chamba,176315.0,NA ,NA ,NA ,HIMUDA Electrical Division Dharamshala,No ,No,1.0,ICICI BANK,"Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",HIMUDA/EDD/W-7/Vol-XI/330-43,2022_HIMUD_61369_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum of BOQ,Financial Bid,,06-Jun-2022 04:00 PM,24-Jun-2022 11:00 AM,08-Jun-2022 10:00 AM,23-Jun-2022 04:00 PM,08-Jun-2022 10:00 AM ,23-Jun-2022 04:00 PM ,08-Jun-2022 10:00 AM,23-Jun-2022 04:00 PM,11-Jul-2022 11:55 AM,AOC
,,,,,,,,,,,,,,,,,,2.0,287998.0,COMPLETE COOLING SOLUTIONS LLP,23-Jun-2022 12:39 PM,Accepted-AOC,L1 Bidder,29-Oct-2022 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Certificate of Registration with HPPWD/HIMUDA/CPWD OR appropriate Class of Contractor enlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,286786.0,modern cooling solution,23-Jun-2022 11:17 AM,Rejected-Finance,Rejected,11-Jul-2022 02:53 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Income Tax PAN/TAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Copy of GST Registration Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Copy of EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work Done certificate as per Condition No. 36.2 (a) in the From 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Bidding Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit Schedule G as per Condition in the From No. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Undertaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"The piping work of HVAC has already been done before submitting the tender, Contractor may be visit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
