Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),Executive Engineer,"O/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar",05-Aug-2022 10:00 AM,12-Aug-2022 11:30 AM,05-Aug-2022 10:00 AM,11-Aug-2022 05:00 PM,NA ,NA ,05-Aug-2022 10:00 AM,11-Aug-2022 05:00 PM,26-Aug-2022 11:30 AM,"33,100",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,A/R and M/O Ahju Suja road Km. 0/0 to 4/0,"Construction of breast wall at Km. 2/180 to 2/180.60 Km. 2/196.80 to 2/217, 2/555 to 2/617.75, Km. 2/640.95 to 2/678.75, Km. 2/794.25 to 2/808.05 and construction of retaining wall at Km. 2/880 to 2/884 and Km. 2/890 to 2/899)",As per SBD ,NA ,"16,56,697",Civil Works - Roads,NA ,Tender,90.0,90.0,Suja,175032.0,NA ,NA ,NA ,"E.E. B and R Division, HPPWD, Joginder Nagar",No ,No,1.0,ICICI BANK,PWD,PW-JND-B and R-EA-I-NIT- 11803-27 dt. 27.07.2022,2022_PWD_63414_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC,Finance,Financial bid opening summary,Sanjiv Kumar,30-Aug-2022 01:12 PM,finance_95613.pdf,BOQ Comparative Chart,1.0,295248.0,Sunil Kumar,INR,"1,646,498",1.0,295291.0,Shalabh Awasthi,11-Aug-2022 01:48 PM,Rejected-Finance,Rejected due to L-2,30-Aug-2022 01:22 PM,Technical,Technical bid opening summary,Sanjiv Kumar,17-Aug-2022 04:59 PM,technical_95613.pdf,PWD,2022_PWD_63414_1,PW-JND-B and R-EA-I-NIT- 11803-27 dt. 27.07.2022,A/R and M/O Ahju Suja road Km. 0/0 to 4/0,Ececutive Engineer,Internal,"Assistant Engineer Joginder Nagar, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Sanjiv Kumar,25-Aug-2022 05:13 PM,26-Aug-2022 11:30 AM,techsummary_95613.pdf (271.19 KB),Executive Engineer,Internal,"Assistant Engineer Joginder Nagar, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Sanjiv Kumar,30-Aug-2022 01:22 PM,finsummary_95613.pdf (183.73 KB),08-Sep-2022,"INR 1,646,498",90.0,Sanjiv Kumar,12-Oct-2022 01:08 PM,awardletter.pdf (287.00 KB),work awarded to the lowest contractor being a L-1,AOC
,,.pdf,Earnest money (Indicated in Schedule E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,295248.0,Sunil Kumar,11-Aug-2022 01:46 PM,Accepted-AOC,work awarded to the lowest contractor being a L-1,12-Oct-2022 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,295239.0,Vinod Kumar,10-Aug-2022 06:39 PM,Not Admitted-Fee/PreQual/Technical,Others-Original document not received,17-Aug-2022 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Work done and work in hand certificate(Gen.Rule No.16,26.2b)Miniamount of workdone asper Schedule-F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rules and directions in Schedule A to F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding all the information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
