S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,22-Aug-2022 05:00 PM,29-Aug-2022 11:30 AM,22-Aug-2022 05:00 PM,29-Aug-2022 11:00 AM,NA ,NA ,22-Aug-2022 05:00 PM,29-Aug-2022 11:00 AM,23-Sep-2022 11:10 AM,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,Improvement of GWSS Mehat by development of new source borewell in GP Kando Kansar Tehsil Dadahu Distt. Sirmour HP,"P/L/J and testing of rising main of MSERW pipe 50mm dia (H/M), Providing, installation and commissioning of submersible pumping machinery with allied accessories, Providing, installation and commissioning of centrifugal pumping machinery with allied",Please refer Tender documents. ,NA ,,Pumps/Motors,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"28,050",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 9439-9519 dated 22-8-22,2022_HPIPH_63891_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC,SE Nahan,Internal,SupdtWS CHD AED EED EEN SE,Ashish Rana,29-Sep-2022 11:38 AM,finsummary_96270.pdf (343.76 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2022_HPIPH_63891_1,NHN-SMROO-722- 9439-9519 dated 22-8-22,Improvement of GWSS Mehat by development of new source borewell in GP Kando Kansar Tehsil Dadahu Distt. Sirmour HP,1.0,297956.0,ABHIMANYU CHOUDHARY,INR,"1,373,901",ER Ashish Rana EE,Internal,TA Supdt HDM Dao EE,Ashish Rana,23-Sep-2022 11:08 AM,23-Sep-2022 11:10 AM,techsummary_96270.pdf (317.18 KB),1.0,297956.0,ABHIMANYU CHOUDHARY,29-Aug-2022 09:35 AM,Accepted-AOC,AOC,28-Oct-2022 03:49 PM,Finance,Financial Bid Opening Summary,Ashish Rana,23-Sep-2022 11:24 AM,finance_96270.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,23-Sep-2022 11:06 AM,technical_96270.pdf,11-Oct-2022,"INR 1,401,526",90.0,Ashish Rana,28-Oct-2022 03:48 PM,AOC.pdf (713.00 KB),Award to Contractor,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,297989.0,GAURAV SHARMA,28-Aug-2022 07:38 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Sep-2022 11:06 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Registration in HPJSV in valid class as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,297959.0,krishan chand,28-Aug-2022 11:02 AM,Rejected-Finance,Rejected,29-Sep-2022 11:38 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,4.0,298029.0,M/S Sharma Enterpirses,29-Aug-2022 10:03 AM,Rejected-Finance,Rejected,29-Sep-2022 11:38 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,PAN and GST as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Dealership/subdearlership of offered PM as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Undertaking alongwith curve chart as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
