Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"1,500",Nil,Nil,No,PWD,SD-III-T-12086-105dt.23-7-2022,2022_PWD_63286_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Renovation / Rehabilitation of block B at Directorate of Higher education Glen Hogan Shimla (SH- Stabilization of foundation, repair of cracks of walls, repair of toilets, plastering, painting and distempering etc.).","Renovation / Rehabilitation of block B at Directorate of Higher education Glen Hogan Shimla (SH- Stabilization of foundation, repair of cracks of walls, repair of toilets, plastering, painting and distempering etc.).",As per SBD ,NA ,"58,59,336",Civil Works - Buildings,NA ,Tender,75.0,60.0,Directorate of Higher Education,171001.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"1,17,200",No,fixed,,Nil,Nil,30-Jul-2022 06:00 PM,08-Aug-2022 11:00 AM,01-Aug-2022 09:00 AM,08-Aug-2022 10:00 AM,NA ,NA ,01-Aug-2022 10:00 AM,08-Aug-2022 10:00 AM,08-Aug-2022 05:20 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,1.0,ICICI BANK,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",AOC,1.0,294713.0,Bhupinder Narwal,07-Aug-2022 12:48 PM,Accepted-AOC,L2,28-Oct-2022 03:27 PM,Technical,Bid Opening Summary,Parveen Kumar Verma,08-Aug-2022 05:13 PM,technical_95367.pdf,Finance,Bid Opening Summary,Sudhir Kumar Gupta,10-Aug-2022 09:22 AM,finance_95367.pdf,BOQ Comparative Chart,1.0,294467.0,Whizkids,INR,"6,147,359.61",PWD,2022_PWD_63286_1,SD-III-T-12086-105dt.23-7-2022,"Renovation / Rehabilitation of block B at Directorate of Higher education Glen Hogan Shimla (SH- Stabilization of foundation, repair of cracks of walls, repair of toilets, plastering, painting and distempering etc.).",P.K.VermaE.E.,Internal,"R.S.ThakurSupdt.,PadamSharmaHDM,Deepak SharmaSr.DAO",Parveen Kumar Verma,08-Aug-2022 05:15 PM,08-Aug-2022 05:20 PM,techsummary_95367.pdf (271.42 KB),P.K. Verma E.E.,Internal,Rs ThakurSupdt. Padam Sharma HDMSr. DAODeepakl Sharma,Bhupender Singh,28-Oct-2022 03:00 PM,finsummary_95367.pdf (346.05 KB),28-Oct-2022,"INR 5,680,752",60.0,Bhupender Singh,28-Oct-2022 03:26 PM,GlenHogen.pdf (936.00 KB),AWARD OF CONTRACT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,2.0,ICICI NEFT/RTGS,,,AOC,2.0,294467.0,Whizkids,07-Aug-2022 12:00 PM,Accepted-AOC,L1,28-Oct-2022 03:27 PM,,,,,,,,,,,,2.0,294713.0,Bhupinder Narwal,INR,"6,716,275.7",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
