Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT,2016_DOT_1064_1,ATDC/CS/564/2016/4/3018 dated 16.09.2016,Tea Museum at Dibrugargh Assam Construction of Boundary wall Site Development Works,1.0,Corrigendum,Tea Museum at Dibrugarh (Construction of Boundary wall and site development works),06-Jan-2017 03:43 PM,CorrigendumofTeaMuseumatDibrugarhConstructionofBoundarywallandsitedevelopmentworksetc.pdf ,855.04,Technical Opening,1,5583,Abhijit Patowary,25-Sep-2016 07:56 PM,Accepted-AOC,first position obtained after adding both technical and financial marks,31-Mar-2018 10:41 AM,AOC,Tea Museum at Dibrugargh Assam Construction of Boundary wall Site Development Works,Tea Museum at Dibrugargh Assam Construction of Boundary wall Site Development Works,Please refer Tender documents. ,NA ,"1,76,26,000",Civil Works,NA ,Tender,180.0,90.0,"Jalan Nagar, Dibrugarh",786005.0,NA ,NA ,NA ,"MD, ATDC Ltd., Paltanbazar, Guwahati-8",No ,No,"3,52,520",Yes,percentage,2.0%,"Managing Director, ATDC Ltd.",Guwahati,19-Sep-2016 04:00 PM,27-Sep-2016 12:30 PM,20-Sep-2016 11:00 AM,26-Sep-2016 02:00 PM,NA ,NA ,20-Sep-2016 11:00 AM,26-Sep-2016 02:00 PM,31-Mar-2018 09:00 AM,"5,000","Managing Director, ATDC Ltd.",Guwahati,No,Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT,ATDC/CS/564/2016/4/3018 dated 16.09.2016,2016_DOT_1064_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,BG - Bank Guarantee Irrevocable,1.0,Fee/PreQual/Technical,.pdf,Fresh Press Notice,"Managing Director, ATDC Ltd.","MD, ATDC Ltd., Paltanbazar, Guwahati-8",AOC
,,,,,,,,,,,2,5553,B.S. ASSOCIATES,25-Sep-2016 01:20 PM,Rejected-Technical,Technically not eligible,29-Mar-2018 03:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit Receipt,,,.pdf,Tender Papers,,,AOC
,,,,,,,,,,,3,5574,Jibon Bharali,24-Sep-2016 01:53 PM,Rejected-Technical,Technically not eligible,29-Mar-2018 03:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,DCR - Deposit at call receipt,,,.pdf,Bid Security,,,AOC
,,,,,,,,,,,4,5590,M/S. DREAM-A-MAZE,26-Sep-2016 12:37 PM,Rejected-AOC,second position obtained after adding both technical and financial marks,31-Mar-2018 10:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Fee,,,AOC
,,,,,,,,,,,5,5579,MS MANAB JYOTI GOGOI AND CO.,24-Sep-2016 03:46 PM,Rejected-AOC,third position obtained after adding both technical and financial marks,31-Mar-2018 10:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Fresh Detail Notice Inviting Bid (QCBS),,,AOC
,,,,,,,,,,,6,5585,M/s. Sunil Gogoi,26-Sep-2016 11:00 AM,Rejected-Technical,Technically not eligible,29-Mar-2018 03:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,,,7,5592,Nareswar Choudhury,26-Sep-2016 01:39 PM,Rejected-Technical,Technically not eligible,29-Mar-2018 03:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid,,,AOC
,,,,,,,,,,,8,5534,PUNJAB ENGINEERING COMPANY PROJECT DIVISION,26-Sep-2016 01:40 PM,Rejected-AOC,third position obtained after adding both technical and financial marks,31-Mar-2018 10:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,9,5591,Rajdhani Associates,26-Sep-2016 01:21 PM,Rejected-Technical,Technically not eligible,29-Mar-2018 03:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,10,5519,RUHINI RAJKHOWA,24-Sep-2016 09:17 PM,Rejected-AOC,fifth position obtained after adding both technical and financial marks,31-Mar-2018 10:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,11,5518,Sri Om Prakash Agarwalla,26-Sep-2016 11:18 AM,Rejected-AOC,forth position obtained after adding both technical and financial marks,31-Mar-2018 10:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
