Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
30-May-2023 02:00 PM,21-Jun-2023 11:30 AM,30-May-2023 02:30 PM,20-Jun-2023 05:00 PM,NA ,NA ,30-May-2023 04:00 PM,20-Jun-2023 05:00 PM,24-Jun-2023 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,Tender Document fee and earnest money receipt,1.0,2ND Extension of date,Date,,Erection of LT line,Erection of LT line,Please refer Tender documents. ,NA ,"1,13,216",Electrical Works,NA ,Tender,180.0,60.0,Under ED Arki,173208.0,NA ,NA ,NA ,ED Arki,No ,No,Sr. Executive engineer,"Electrical division, HPSEBL, Arki",1.0,ICICI BANK,"1,132",No,fixed,,Nil,Nil,590.0,Nil,Nil,No,HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,HPSEBL/AED/NIT-07/2023-24,2023_HPSEB_74171_1,Yes,Limited,Percentage,Works,2.0,No,No,Online,No,No,No,Seniorexecutiveengineer,Internal,sr.XEN Divisional accountant AE ESD Darlaghat,Devender Koundal,24-Jun-2023 11:55 AM,24-Jun-2023 01:00 PM,techsummary_111303.pdf (488.11 KB),1.0,353287.0,Chaman Lal Electrical and Hardware Contractor,10-Jun-2023 03:49 PM,Rejected-Finance,Higher Bid,01-Jul-2023,01-Jul-2023,"INR 114,348",60.0,Devender Koundal,01-Jul-2023 10:38 AM,awaard7.pdf (4056.00 KB),Awarded to L1,Finance,financially open,Devender Koundal,24-Jun-2023 02:35 PM,finance_111303.pdf,BOQ Comparative Chart,Technical,Tender open,Sachin Arya,21-Jun-2023 11:55 AM,technical_111303.pdf,Er. Devender Koundal (Sr. Xen.),Internal,"Sr. Xen,Divisional Accountant,Assistant Engineer Darlaghat",Devender Koundal,01-Jul-2023 10:34 AM,finsummary_111303.pdf (488.11 KB),1.0,352672.0,VINAY KUMAR SHARMA,INR,"114,348",HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,2023_HPSEB_74171_1,HPSEBL/AED/NIT-07/2023-24,Erection of LT line
,,,,,,,,,,,.pdf,Techicall and comm.work Experience of similar nature of work as per clause no 1.01 and 1.02,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,355612.0,SHIVA ELECTRICAL & HARDWARE,20-Jun-2023 03:09 PM,Rejected-Finance,Higher Bid,01-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Class -A contractor Licence as per clause 1.01.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,352672.0,VINAY KUMAR SHARMA,20-Jun-2023 03:14 PM,Accepted-AOC,Found lowest,01-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,"Detail of net worth,avg. financial turnover, liquid asset as per clause 1.02.2,1.02.3,1.02.4 from CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,The Bidder shall satisfy Bid capacity as clause 1.02.5 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,In case a bid is submitted by a joint venture all the qualification should be full as clause1.02.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Certificate from banker as per clause 2.01.1 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,"Litigation history as per clause 2.01.4 ,Non blacklisting Affidavit,No deviation certi.as per Bid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,"No change of ownership(ITB vol-1,Sec-IIclause2.3.2 and letter of undertaking/Bid validity as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,"GST and EPF registration,pan,self undertake of completion of work and studied all term and condition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
