Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Sh.Manish Sehgal,Internal,,Manish Sehgal,03-Jul-2023 12:23 PM,finsummary_55245.pdf (105.57 KB),03-Jul-2023,"INR 976,500",90.0,Manish Sehgal,03-Jul-2023 12:24 PM,AOC.pdf (360.00 KB),AOC,PWD,2020_PWD_37477_1,Link road to village Kharul Km 1-0 to 2-0,Providing and laying Annual Surface (Periodic Maintenance) on link road to village Kharul under performance based Financial Incentive 2017-18 (during the year 2018-19) of PMGSY rural roads in the state of HP,Sh Manish Sehgal,Internal,Anoop Sood AE to EE Harjeet Singh Supdt Suresh Kumar HDM Dayal Singh Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,20-Jun-2020 12:47 PM,20-Jun-2020 12:50 PM,techsummary_55245.pdf (958.58 KB),Technical,Bid opening summary,Manish Sehgal,20-Jun-2020 12:06 PM,technical_55245.pdf,1.0,160647.0,MAHALUXMI ENTERPRISES,02-Jun-2020 10:44 PM,Accepted-AOC,L1,03-Jul-2023,1.0,160647.0,MAHALUXMI ENTERPRISES,INR,"932,400",Finance,Summary,Manish Sehgal,03-Jul-2023 12:21 PM,finance_55245.pdf,BOQ Comparative Chart,Providing and laying Annual Surface (Periodic Maintenance) on link road to village Kharul under performance based Financial Incentive 2017-18 (during the year 2018-19) of PMGSY rural roads in the state of HP,Providing and laying Tack coat and Bituminous Concrete in Km. 1/0 to 2/0,Please refer Tender documents. ,NA ,"7,07,974",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,"14,200",No,fixed,,EE Bhawarna,Bhawarna,23-May-2020 03:40 PM,03-Jun-2020 11:30 AM,23-May-2020 03:45 PM,03-Jun-2020 11:00 AM,NA ,NA ,23-May-2020 04:00 PM,03-Jun-2020 11:00 AM,20-Jun-2020 12:50 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,350.0,EE Bhawarna,Bhawarna,No,1.0,DD - Demand Draft,PWD,Link road to village Kharul Km 1-0 to 2-0,2020_PWD_37477_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,160572.0,M/s Kamala Enterprises,02-Jun-2020 06:00 PM,Rejected-AOC,L3,03-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,160640.0,Sanjeev,02-Jun-2020 09:57 PM,Rejected-AOC,L2,03-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,
