Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
Providing and laying Annual Surfacing (Periodic Maintenance) on Bathral to Harbaral road in Km 0/0 to 1/0 and Achroo Ka Baroh Chambi Chiran Nandi Pira road Km 7/0 to 8/0 (during the year 2020-21) of Rural roads in the state of HP,"Providing and laying WBM G-II, Tack coat and Bituminous Concrete",Please refer Tender documents. ,NA ,"18,24,705",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,07-Sep-2020 01:00 PM,17-Sep-2020 11:30 AM,07-Sep-2020 01:00 PM,17-Sep-2020 11:00 AM,NA ,NA ,07-Sep-2020 01:30 PM,17-Sep-2020 11:00 AM,06-Oct-2020 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,PWD,Bathral to Harbaral road in Km 0-0 to 1-0,2020_PWD_40402_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"36,500",No,fixed,,EE Bhawarna,Bhawarna,500.0,EE Bhawarna,Bhawarna,No,1.0,DD - Demand Draft,1.0,178002.0,M/s Kamala Enterprises,16-Sep-2020 07:01 PM,Accepted-AOC,L1,03-Jul-2023,Technical,Bid opening summary,Manish Sehgal,06-Oct-2020 03:21 PM,technical_59654.pdf,1.0,178002.0,M/s Kamala Enterprises,INR,"2,543,190",Finance,Summary,Manish Sehgal,03-Jul-2023 12:09 PM,finance_59654.pdf,BOQ Comparative Chart,PWD,2020_PWD_40402_1,Bathral to Harbaral road in Km 0-0 to 1-0,Providing and laying Annual Surfacing (Periodic Maintenance) on Bathral to Harbaral road in Km 0/0 to 1/0 and Achroo Ka Baroh Chambi Chiran Nandi Pira road Km 7/0 to 8/0 (during the year 2020-21) of Rural roads in the state of HP,Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Harjeet Singh Supdt Suresh Kumar HDM Suraj Parkash Sr. DAO Manjeet Kumar Jr Asstt,Manish Sehgal,06-Oct-2020 03:30 PM,06-Oct-2020 04:00 PM,techsummary_59654.pdf (915.59 KB),Sh.Manish Sehgal,Internal,,Manish Sehgal,03-Jul-2023 12:11 PM,finsummary_59654.pdf (111.61 KB),03-Jul-2023,"INR 2,543,189.5",90.0,Manish Sehgal,03-Jul-2023 12:14 PM,AOC.pdf (241.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,2.0,177924.0,Sanjeev,16-Sep-2020 01:59 PM,Rejected-AOC,L2,03-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
