Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,S.No.1.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Finance,Construction of Primary Health Centre Building at Saichu,Vishal Chopra,24-Jul-2023 04:15 PM,finance_109201.pdf,BOQ Comparative Chart,1.0,345716.0,Mohinder Rana,INR,"18,814,231",Technical,Construction of Primary Health Centre Building at Saichu,Vishal Chopra,19-May-2023 02:49 PM,technical_109201.pdf,1.0,345917.0,Jagat Singh,08-May-2023 02:30 PM,Rejected-Technical,non eligible,19-May-2023,24-Jul-2023,"INR 18,814,231",548.0,Vishal Chopra,24-Jul-2023 04:23 PM,awardphc.pdf (759.00 KB),Award letter for the Construction of Primary Health Centre Building at Saichu,Er. Man Singh,Internal,DAO HDM Supdt,Vishal Chopra,24-Jul-2023 04:18 PM,finsummary_109201.pdf (245.36 KB),ER Mohinder Thakur EE,Internal,DAO HDM SUPDT,Vishal Chopra,19-May-2023 03:09 PM,20-May-2023 12:30 PM,techsummary_109201.pdf (373.25 KB),PWD,2023_PWD_72613_1,No. PW-KD-CB-GA-Tender/23-941-1040 Dt. 27.04.2023,Construction of Primary Health Centre Building at Saichu,Construction of Primary Health Centre Building at Saichu,Sub Head Balance work for building portion civil work water supply and sanitary installation work,As refer to Bid document ,NA ,"1,81,82,419",Civil Works - Buildings,NA ,Tender,90.0,548.0,Killar,176323.0,NA ,NA ,NA ,Killar,No ,No,1.0,ICICI BANK,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"3,63,700",No,fixed,,Nil,Nil,"5,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Documents, EMD/Bid Security through online mode.",Er. Mohinder Singh,Executive Engineer Killar Division HPPWD Killar,PWD,No. PW-KD-CB-GA-Tender/23-941-1040 Dt. 27.04.2023,2023_PWD_72613_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,02-May-2023 10:00 AM,10-May-2023 10:30 AM,02-May-2023 10:00 AM,09-May-2023 05:00 PM,NA ,NA ,02-May-2023 10:00 AM,09-May-2023 05:00 PM,20-May-2023 12:30 PM
,,,,,,,,,,,,,,,,2.0,345716.0,Mohinder Rana,09-May-2023 04:10 PM,Accepted-AOC,L-1,24-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,.pdf,Scanned copy of Registration/Enlistment with H.P.P.W.D. Deptt. as per general rule No.23.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,346242.0,RAMCHARAN RANA,09-May-2023 03:44 PM,Rejected-AOC,not eligible due to 2nd lowest,24-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,.pdf,Scanned copy of PAN and TIN and Income Tax clearance certificate.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,345798.0,Sahil,09-May-2023 08:34 AM,Rejected-Technical,non eligible,19-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,.pdf,Scanned copy of work done certificate at least one civil work of 40 percent of the estimated value,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,.pdf,Scanned copy of work in hand,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five year (Ref. General Rule 26.2a,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of GST as per general rule-21.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information as bidder/firm may like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form of bid as specified in Section-7/8,,,,,,,,,,,,,,,,,,,,,,,,,
