Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
"2,000",Nil,Nil,No,1.0,ICICI BANK,C/o Foot Brdige to village Dar Gujrerha of Lindi Khad and Sai Da Ghat,Construction of 1.80 mtrs width foot bridge over Lindi Khad 60 mtrs (Actual 62 mtr) span,Please refer tender documents ,NA ,"56,76,845",Civil Works - Bridges,NA ,Tender,90.0,365.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Copy of online receipt of EMD and Cost of Tender form (Indicated in Schedule F),",22-Feb-2023 03:00 PM,04-Mar-2023 11:30 AM,22-Feb-2023 03:00 PM,03-Mar-2023 06:00 PM,NA ,NA ,22-Feb-2023 03:00 PM,03-Mar-2023 06:00 PM,07-Mar-2023 12:30 PM,Executive Engineer,HPPWD Division Bhoranj,PWD,Bhoranj 11614-17 dt. 16.02.2023,2023_PWD_69334_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"89,500",No,fixed,,Nil,Nil,Executive Engineer,Internal,Assistant Engineer HPPWD Sub Division Bhoranj HDM DAO Supdtt GrII HPPWD Division Bhoranj,Pramod Kashyap,06-Mar-2023 04:49 PM,07-Mar-2023 12:30 PM,techsummary_104630.pdf (793.44 KB),PWD,2023_PWD_69334_1,Bhoranj 11614-17 dt. 16.02.2023,C/o Foot Brdige to village Dar Gujrerha of Lindi Khad and Sai Da Ghat,25-Jul-2023,"INR 5,676,845",365.0,Anil Kumar Sharma,25-Jul-2023 08:52 PM,69334A.pdf (1292.00 KB),WORKAWARDED,Executive Engineer,Internal,Assistant Engineer HPPWD Sub Division Bhoranj DAO HDM Supdtt GrII HPPWD Division Bhoranj,Pramod Kashyap,07-Mar-2023 02:43 PM,finsummary_104630.pdf (425.71 KB),1.0,331322.0,Karan Raj Singh,03-Mar-2023 05:25 PM,Rejected-Technical,Non responsive,06-Mar-2023,Technical,Executive Engineer HPPWD Division Bhoranj Assistant Engineer HPPWD Sub Division Bhoranj HDM DAO Supdtt GrII HPPWD Division Bhoranj,Anil Kumar Sharma,04-Mar-2023 11:47 AM,technical_104630.pdf,1.0,331194.0,Sureshkumar,INR,"5,000,164",Finance,Executive Engineer HPPWD Division Bhoranj Assistant Engineer HPPWD Sub Division Bhoranj DAo Supdtt GrII HPPWD Division Bhoranj,Anil Kumar Sharma,07-Mar-2023 01:34 PM,finance_104630.pdf,BOQ Comparative Chart
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,330302.0,LAKHDATAPEEER CONSTRUCTION PVT LTD,02-Mar-2023 05:33 PM,Rejected-Technical,Non Responsive,06-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST , PAN and EPF Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,331233.0,Pardeed Kumar,03-Mar-2023 04:58 PM,Rejected-Finance,2nd lowest,07-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate during last five year and Work In Hand Certificate duly signed by the concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,331315.0,RAMAN KUMAR,03-Mar-2023 05:10 PM,Rejected-Technical,Non responsive,06-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,330841.0,Sunil Kumar,03-Mar-2023 03:38 PM,Rejected-Technical,Non Responsive,06-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 7, 8 duly signed by the contractor (General Rule No.26.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,331194.0,Sureshkumar,03-Mar-2023 05:13 PM,Accepted-AOC,WORKAWARDED,25-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual financial Turnover for at least five years duly verified/checked by the Charted Accountant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works is corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor should not have more than two works each of Rs. 100 Lacs or more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
