Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description
EE,Internal,SUPDTT HDM AO,Sanjeev Gupta,10-Jul-2023 03:51 PM,finsummary_112702.pdf (51.70 KB),17-Jul-2023,"INR 919,296",330.0,Sanjeev Thakur,01-Aug-2023 10:59 AM,award.PDF (1384.00 KB),Award of Contract,Finance,2 No. bid have been received for the tender on e-tender portal opened on dated 07-07-2023 and both bidder have been qualified for the financial part in which Sh. Sanjay Kumar have been found lowest bidder.,Sanjeev Thakur,07-Jul-2023 11:53 AM,finance_112702.pdf,BOQ Comparative Chart,PWD,2023_PWD_75252_1,ED.II.GA.Tender/23-24-1642-43 dated 19.06.2023,Providing electrical staff for attending complaints in electrical sub Division HPPWD Reckong Peo Distt Kinnaur under Elect Divn No II HPPWD U S Club Shimla w e f 01.07.2023 to 31.05.2024,EE,Internal,SUPDTT HDM AO,Sanjeev Gupta,10-Jul-2023 03:49 PM,techsummary_112702.pdf (51.69 KB),1.0,356941.0,SANJAY KUMAR GOVT CONTRACTOR,INR,"919,296",1.0,356941.0,SANJAY KUMAR GOVT CONTRACTOR,26-Jun-2023 06:53 PM,Accepted-AOC,Lowest bidder,01-Aug-2023,350.0,EE Elect divn nO II,Shimla-1,No,"18,500",No,fixed,,EE Elect Divn No. II,Shimla-1,Providing electrical staff for attending complaints in electrical sub Division HPPWD Reckong Peo Distt Kinnaur under Elect Divn No II HPPWD U S Club Shimla w e f 01.07.2023 to 31.05.2024,Providing staff,Please refer Tender documents. ,NA ,"9,19,296",Electrical Works,NA ,Tender,120.0,330.0,Reckong Peo,172017.0,NA ,NA ,NA ,Elect Divn No II,No ,No,1.0,ICICI BANK,PWD,ED.II.GA.Tender/23-24-1642-43 dated 19.06.2023,2023_PWD_75252_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Both(Online/Offline),No,No,No,20-Jun-2023 05:00 PM,28-Jun-2023 11:30 AM,20-Jun-2023 05:00 PM,27-Jun-2023 05:00 PM,NA ,NA ,20-Jun-2023 05:30 PM,27-Jun-2023 05:00 PM,XEN Elect Divn No II,XEN Elect Divn No II HPPWD Shimla-1,1.0,Fee/PreQual/Technical/Finance,.pdf,Receipt of online payment copy of tender form and EMD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,357116.0,Thakur Electrical,27-Jun-2023 04:19 PM,Rejected-AOC,2nd lowest bidder,01-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate as per tender documents
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking affidavit of true and correct information
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid electrical enlistment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,current work in hand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ
