Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
500.0,Nil,Nil,No,"22,700",No,fixed,,Nil,Nil,"Providing and fixing of cassette type air conditioning units in Lecture cum Seminar Hall, First floor in Anatomy Block Dr.RPGMC Kangra at Tanda in Distt. Kangra (H.P)","Providing and fixing of cassette type air conditioning units in Lecture cum Seminar Hall, First floor in Anatomy Block Dr.RPGMC Kangra at Tanda in Distt. Kangra (H.P)",Please refer Tender documents. ,NA ,"11,31,856",Electrical Works,NA ,Tender,120.0,60.0,Kangra at Tanda,176001.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,1.0,ICICI BANK,20-Mar-2023 05:00 PM,27-Mar-2023 11:30 AM,20-Mar-2023 05:00 PM,27-Mar-2023 10:00 AM,NA ,NA ,20-Mar-2023 05:00 PM,27-Mar-2023 10:00 AM,11-Apr-2023 11:30 AM,PWD,Elect. Division HPPWD Palampur,2023_PWD_71196_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Elect. Division HPPWD Palampur,1.0,337389.0,Hindustan Ref. Works,INR,"1,140,032",Finance,as per uploaded document,Dalip singh Patial,22-Apr-2023 12:07 PM,finance_107240.pdf,BOQ Comparative Chart,1.0,337389.0,Hindustan Ref. Works,26-Mar-2023 01:47 PM,Accepted-AOC,L1,09-Jul-2023,Technical,as per uploaded document,Dalip singh Patial,05-Apr-2023 03:08 PM,technical_107240.pdf,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,05-Apr-2023 03:28 PM,11-Apr-2023 11:30 AM,techsummary_107240.pdf (302.46 KB),PWD,2023_PWD_71196_1,Elect. Division HPPWD Palampur,"Providing and fixing of cassette type air conditioning units in Lecture cum Seminar Hall, First floor in Anatomy Block Dr.RPGMC Kangra at Tanda in Distt. Kangra (H.P)",09-Jul-2023,"INR 1,140,032",60.0,Dalip singh Patial,09-Jul-2023 04:24 PM,71196_1.pdf (1178.00 KB),as per uploaded document,Sh. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,22-Apr-2023 12:09 PM,finsummary_107240.pdf (22.42 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,337567.0,National Refrigeration & Electrical Works,25-Mar-2023 05:25 PM,Rejected-Technical,Technically Not Qualified,05-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,337853.0,REVOLUTION,24-Mar-2023 03:07 PM,Rejected-Finance,L2,22-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual financial turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 (GCC) duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration by the contractor duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
