S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,ICICI BANK,P/L Antiskid vetrified tiles in Jhalum Hostal at Sanik School Sujanpur,P/L Antiskid vetrified tiles in Jhalum Hostal at Sanik School Sujanpur,Please refer Tender documents. ,NA ,"25,10,751",Civil Works - Buildings,NA ,Tender,60.0,60.0,Tauni Devi,177023.0,NA ,NA ,NA ,Tauni Devi,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form through online,"1,500",Nil,Nil,No,PWD,P/L Antiskid vetrified tiles in Jhelum Hostal at,2023_PWD_75178_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"45,000",No,fixed,,Nil,Nil,Executive Engineer,HPPWD Division Tauni Devi,18-Jun-2023 09:00 AM,23-Jun-2023 11:00 AM,18-Jun-2023 09:00 AM,23-Jun-2023 10:30 AM,NA ,NA ,18-Jun-2023 09:00 AM,23-Jun-2023 10:30 AM,03-Jul-2023 11:30 AM,1.0,355795.0,Avtar Singh,INR,"2,562,724",Finance,work awarded,Arvind Lakhanpal,12-Jul-2023 05:10 PM,finance_112585.pdf,BOQ Comparative Chart,1.0,355906.0,AASHISH KUMAR,21-Jun-2023 08:52 PM,Accepted-AOC,awarded,14-Jul-2023,Technical,techbidevaluated,Arvind Lakhanpal,30-Jun-2023 06:19 PM,,EXECUTIVEENGINEER,Internal,DAOHDMSUPDT,Arvind Lakhanpal,01-Jul-2023 11:59 AM,03-Jul-2023 11:30 AM,techsummary_112585.pdf (377.32 KB),PWD,2023_PWD_75178_1,P/L Antiskid vetrified tiles in Jhelum Hostal at,P/L Antiskid vetrified tiles in Jhalum Hostal at Sanik School Sujanpur,14-Jul-2023,"INR 2,510,751",60.0,Arvind Lakhanpal,14-Jul-2023 04:23 PM,tile.pdf (912.00 KB),P/L Antiskid vetrified tiles in Beas Hostal at Sanik School Sujanpur,EXECUTIVEENGINEER,Internal,DAOHDMSUPDT,Arvind Lakhanpal,12-Jul-2023 05:22 PM,finsummary_112585.pdf (923.09 KB)
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,EMD through online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,355906.0,AASHISH KUMAR,INR,"2,562,724",,,,,,,2.0,355509.0,ANJU DEVI,20-Jun-2023 03:09 PM,Rejected-Technical,non-Responsive,01-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,355795.0,Avtar Singh,22-Jun-2023 04:39 PM,Accepted-AOC,awarded,14-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work done certificate ( Only Completed work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tools and plant as per SBD with ownership documents/ Affidavit Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive Eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.00 Lakhs or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
