Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
1.0,Fee/PreQual/Technical,.pdf,earnest money as per NIT,1.0,ICICI BANK,"2,500",EE JSV Suni,Suni,No,Executive Engineer,Executive Engineer Jal Shakti Division Suni,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Suni,Irrigation and Public Health,HP",SNN-SML-03-740-Tender/23-92-97 dt 11/04/23,2023_HPIPH_72184_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"20,10,500",No,fixed,,EE JSV Suni,Suni,12-Apr-2023 05:00 PM,21-Apr-2023 11:30 AM,12-Apr-2023 05:00 PM,21-Apr-2023 11:00 AM,12-Apr-2023 05:00 PM ,21-Apr-2023 11:00 AM ,12-Apr-2023 05:00 PM,21-Apr-2023 11:00 AM,10-May-2023 06:45 PM,Augmentation of WSS Sunni in NAC Sunni Tehsil Suni Distt Shimla HP Under AMRUT 2.0,Augmentation of WSS Sunni in NAC Sunni Tehsil Suni Distt Shimla HP Under AMRUT 2.0,Please refer Tender documents. ,NA ,"19,77,78,254",Civil Works - Water Works,NA ,Tender,120.0,730.0,Suni,171301.0,Shimla ,O/o CE(SZ) JSV Shimla-5 ,18-Apr-2023 11:00 AM ,Suni,No ,No,CESZ,External,AED ACBud EED EESuni SE9 SED,Subash Chauhan,10-May-2023 06:43 PM,10-May-2023 06:45 PM,techsummary_108620.pdf (2121.21 KB),1.0,343153.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,20-Apr-2023 07:51 PM,Rejected-AOC,higher bid,24-Jul-2023,Finance,Fin bid opened successfully,Subash Chauhan,24-Jul-2023 01:25 PM,finance_108620.pdf,BOQ Comparative Chart,Technical,cover-1 opened successfully,Subash Chauhan,10-May-2023 06:40 PM,technical_108620.pdf,24-Jul-2023,"INR 197,778,254",730.0,Subash Chauhan,24-Jul-2023 01:38 PM,AMRUTaward.pdf (1050.00 KB),Work estimated cost,CESZ,External,AED EESuni EED SED SECircle-9 JAO,Subash Chauhan,24-Jul-2023 01:35 PM,finsummary_108620.pdf (1282.86 KB),1.0,343124.0,S.k.sharma contractor and engineer,INR,"195,913,465","HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Suni,Irrigation and Public Health,HP",2023_HPIPH_72184_1,SNN-SML-03-740-Tender/23-92-97 dt 11/04/23,Augmentation of WSS Sunni in NAC Sunni Tehsil Suni Distt Shimla HP Under AMRUT 2.0
,,.pdf,Cost of tender document as per NIT,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,343220.0,HYDRAULIC ENGINEERING COMPANY,20-Apr-2023 04:55 PM,Rejected-AOC,higher bid,24-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Certificate of registration with Jal Shakti Vibhag in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,343124.0,S.k.sharma contractor and engineer,21-Apr-2023 10:03 AM,Accepted-AOC,L1,24-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Copy of PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,343209.0,Unipro Techno Infrastructure Pvt Ltd,20-Apr-2023 05:55 PM,Rejected-AOC,higher bid,24-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Latest Income Tax Return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Sale Tax registration/TIN Numbers/GSTIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Work Done, Experience as per NIT condition eligibility criteria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,EPF registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,The authorization letter regarding Digital Signature Certificate (DSC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,copy of under taking that I have carefully studied all the Terms and Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Pump Characteristics curves and make model pumping machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
