Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Rajesh Kumar,Internal,Op Chauhan Vivek saklani Pradeep sharma nandini kapoor,Rajesh Kumar,10-May-2023 05:58 PM,10-May-2023 06:00 PM,techsummary_108826.pdf (260.68 KB),1.0,344537.0,AMIT CHOUDHARY,29-Apr-2023 12:39 PM,Rejected-Finance,Being L2 Rejected,04-Jul-2023,Finance,Financial Summary,Rajesh Kumar,20-May-2023 03:28 PM,finance_108826.pdf,BOQ Comparative Chart,Technical,Technical Evaluation Summary,Rajesh Kumar,10-May-2023 05:57 PM,technical_108826.pdf,04-Jul-2023,"INR 9,935,767",365.0,Rajesh Kumar,04-Jul-2023 04:14 PM,AOCFISTRIAMBLA.pdf (465.00 KB),AOC,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,2023_HPCDP_72331_1,No.AGR. DPMU. KGR. F (7) Tender/13/2022-Vol-I-60,"Flow Irrigation Scheme Traimbla at Village and G.P. Ambari, Tehsil Shahpur, District Kangra (H.P.)",1.0,344368.0,SEWA SINGH,INR,"9,935,767",Rajesh Kumar,Internal,"OP Chauhan, Pardeep Sharma, Nandini Kapoor, Vivek Saklani",Rajesh Kumar,04-Jul-2023 04:07 PM,finsummary_108826.pdf (112.22 KB),District Project Manager O/o DPMU HPCDP JICA ODA,"District Project Manager O/o DPMU HPCDP JICA ODA Phase-II, Opposite to Soil Testing Lab, Holta at Palampur",1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,19-Apr-2023 06:00 PM,01-May-2023 11:00 AM,19-Apr-2023 06:55 PM,29-Apr-2023 05:00 PM,NA ,NA ,19-Apr-2023 06:55 PM,29-Apr-2023 05:00 PM,10-May-2023 06:00 PM,1.0,DD - Demand Draft,"2,000",DPM HPCDP JICA Palampur,Palampur,No,"Flow Irrigation Scheme Traimbla at Village and G.P. Ambari, Tehsil Shahpur, District Kangra (H.P.)","Flow Irrigation Scheme Traimbla at Village and G.P. Ambari, Tehsil Shahpur, District Kangra (H.P.)",Please refer Tender documents. ,NA ,,Civil Works - Water Works,Flow Irrigation Scheme ,Tender,90.0,365.0,"Village andG.P.Ambari, Tehsil Shahpur, District Ka",176208.0,District Project Management Unit HPCDP JICA ODA Ph ,"District Project Management Unit HPCDP JICA ODA Phase-II, Opposite to Soil Testing Lab, Holta at Palampur ",25-Apr-2023 11:00 AM ,District Project Management Unit HPCDP JICA ODA Ph,No ,No,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,No.AGR. DPMU. KGR. F (7) Tender/13/2022-Vol-I-60,2023_HPCDP_72331_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"92,900",No,fixed,,DPM HPCDP JICA Palampur,Palampur
,,,,,,,2.0,344554.0,GANTANTAR THAKUR,29-Apr-2023 03:02 PM,Rejected-Finance,Being L4 Rejected,04-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3.0,344592.0,Kuldeep Sood Govt. Contr.,29-Apr-2023 04:51 PM,Rejected-Finance,Being L3 Rejected,04-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4.0,344566.0,RANBIR SINGH,29-Apr-2023 03:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5.0,344538.0,SATISH KUMAR DHIMAN,29-Apr-2023 01:11 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works in HP as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6.0,344368.0,SEWA SINGH,27-Apr-2023 03:44 PM,Accepted-AOC,L1,04-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily one work indicating exp. in key activities as indicated in NIT Sr.VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
