S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,ICICI BANK,350.0,Nil,Nil,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"15,150",No,fixed,,Nil,Nil,14-Jun-2023 01:15 PM,22-Jun-2023 11:30 AM,14-Jun-2023 01:15 PM,22-Jun-2023 11:00 AM,NA ,NA ,14-Jun-2023 01:15 PM,22-Jun-2023 11:00 AM,05-Jul-2023 11:30 AM,Construction of 6 Nos. Type II quarters for Forest Department at Sunder Nagar District Mandi HP SH Providing E.I therein,Construction of 6 Nos. Type II quarters for Forest Department at Sunder Nagar District Mandi HP SH Providing E.I therein,PLZ REFER TO BID DOC ,NA ,"7,56,633",Electrical Works,NA ,Tender,90.0,730.0,SUNDER NAGAR,175019.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,","Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",PWD,PW/MED/TA/NIT/ e-notice/23-24-1871-81 dt 05.06.23,2023_PWD_74934_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Er Munish Bhopal EE,Internal,Supdt HDM Sr Asstt,Munish Bhopal,05-Jul-2023 10:51 AM,05-Jul-2023 11:30 AM,techsummary_112255.pdf (214.23 KB),PWD,2023_PWD_74934_4,PW/MED/TA/NIT/ e-notice/23-24-1871-81 dt 05.06.23,Construction of 6 Nos. Type II quarters for Forest Department at Sunder Nagar District Mandi HP SH Providing E.I therein,31-Jul-2023,"INR 756,633",730.0,Munish Bhopal,10-Aug-2023 04:36 PM,AoC.pdf (365.00 KB),work awarded to M/s Guleria Electric and Contracts being L1 contractor,Er Munish Bhopal EE,Internal,HDM SUPDT SR ASSTT,Munish Bhopal,25-Jul-2023 03:59 PM,finsummary_112255.pdf (178.48 KB),1.0,355013.0,Guleria Electric and Contracts,INR,"673,403",Finance,Summary,Suresh Kaushal,20-Jul-2023 04:01 PM,,BOQ Comparative Chart,1.0,355013.0,Guleria Electric and Contracts,21-Jun-2023 01:18 PM,Accepted-AOC,work awarded being L1 contr,10-Aug-2023,Technical,Summary,Suresh Kaushal,03-Jul-2023 05:42 PM,
2.0,ICICI NEFT/RTGS,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Electrical contractor enlistment in HPPWD Class B or C with valid electrical license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,355924.0,M.V.Associates,22-Jun-2023 12:20 AM,Rejected-Finance,REJECTED BEING L2,25-Jul-2023,,,,,
,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand detail as per Technical Qualification Criteria copy of award be attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and information furnished with the bid is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder address format with valid email ID and contact numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
