Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
PWD,C/O Road village Pathiyalu to village Adrash Nagar,2023_PWD_74271_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Road village Pathiyalu to village Adrash Nagar in G.P. Karndola Plasi Km 0/0 to 2/700,SH Removal of formation defficiency and Cross drainage in Km 0/0 to 2/700,Please refer Tender documents. ,NA ,"39,00,160",Civil Works - Roads,NA ,Tender,60.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,ICICI BANK,EE Hamirpur,Executive Engineer HPPWD Hamirpur,"1,000",Nil,Nil,No,"66,100",No,fixed,,Nil,Nil,01-Jun-2023 06:00 PM,08-Jun-2023 11:00 AM,01-Jun-2023 06:00 PM,08-Jun-2023 10:30 AM,NA ,NA ,01-Jun-2023 06:00 PM,08-Jun-2023 10:30 AM,17-Jun-2023 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,EE Hamirpur,Internal,SupdtHDMSrDAO,Sanjay Katoch,16-Jun-2023 01:44 PM,17-Jun-2023 11:00 AM,techsummary_111441.pdf (978.86 KB),PWD,2023_PWD_74271_1,C/O Road village Pathiyalu to village Adrash Nagar,Construction of Road village Pathiyalu to village Adrash Nagar in G.P. Karndola Plasi Km 0/0 to 2/700,19-Jul-2023,"INR 4,085,418",90.0,Sanjay Katoch,19-Jul-2023 12:12 PM,awardpathialu.pdf (644.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,19-Jul-2023 12:10 PM,finsummary_111441.pdf (607.52 KB),1.0,352741.0,ANKUSH KAPIL,07-Jun-2023 05:57 PM,Rejected-Technical,Rejected,16-Jun-2023,Technical,Attached,Sanjay Katoch,15-Jun-2023 07:31 AM,technical_111441.pdf,1.0,352682.0,Ashok Kumar,INR,"4,085,417.6",Finance,Attached,Sanjay Katoch,19-Jul-2023 12:07 PM,finance_111441.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,2.0,352682.0,Ashok Kumar,07-Jun-2023 10:56 PM,Accepted-AOC,l1,19-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,3.0,352399.0,Japan Singh,07-Jun-2023 06:32 PM,Rejected-Technical,Rejecetd,16-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,4.0,352823.0,Mohit,08-Jun-2023 09:51 AM,Rejected-Finance,l2,19-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,5.0,352767.0,Mukesh,07-Jun-2023 11:10 PM,Rejected-Finance,l3,19-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,6.0,352567.0,Rajinder Kumar,07-Jun-2023 11:47 AM,Rejected-Technical,Rejected,16-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turn Over of last five year as certified by Chartered Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
