Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna,"12,900",No,fixed,,Nil,Nil,PWD,NIT No.881-940 DT.19-04-2023-Bhawarna,2023_PWD_72447_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,25-Apr-2023 02:00 PM,02-May-2023 11:30 AM,25-Apr-2023 02:05 PM,02-May-2023 11:00 AM,NA ,NA ,25-Apr-2023 02:30 PM,02-May-2023 11:00 AM,04-May-2023 12:20 PM,350.0,Nil,Nil,No,1.0,ICICI BANK,Extension of Arla Gugga Mandir road upto Bhawarna Km 0/0 to 6/0,P/L CC work from Saloh towards Bhadal Devi Km 0/0 to 0/300.,Please refer Tender documents. ,NA ,"6,45,857",Civil Works - Roads,NA ,Tender,75.0,30.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,Sh. Manish Sehgal,Internal,Anand Katoch AEtoEE Subhash Chand Supdt. Mukesh Kumar JDM Naveen Kumar DAO Manjeet Kumar Sr Asstt,Manish Sehgal,04-May-2023 12:14 PM,04-May-2023 12:20 PM,techsummary_108982.pdf (1508.44 KB),PWD,2023_PWD_72447_1,NIT No.881-940 DT.19-04-2023-Bhawarna,Extension of Arla Gugga Mandir road upto Bhawarna Km 0/0 to 6/0,05-Jul-2023,"INR 468,748.69",30.0,Manish Sehgal,05-Jul-2023 12:19 PM,AOC.pdf (391.00 KB),AOC,Sh. Manish Sehgal,Internal,,Manish Sehgal,16-May-2023 04:08 PM,finsummary_108982.pdf (135.92 KB),1.0,344758.0,SAVITA DEVI,INR,"468,749",Finance,Summary,Manish Sehgal,16-May-2023 04:05 PM,finance_108982.pdf,BOQ Comparative Chart,1.0,344746.0,Ankit,01-May-2023 04:56 PM,Rejected-Finance,Bid Rank-L6,16-May-2023,Technical,Summary,Manish Sehgal,04-May-2023 12:08 PM,technical_108982.pdf
,,.pdf,The valid enlistment/registration of contractor in appropriate class.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,344419.0,ayush,02-May-2023 10:10 AM,Rejected-Finance,Bid Rank-L5,16-May-2023,,,,,
,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,344758.0,SAVITA DEVI,02-May-2023 10:30 AM,Accepted-AOC,L1,05-Jul-2023,,,,,
,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,344479.0,SHAFALI SARYAL,01-May-2023 01:15 PM,Rejected-Finance,Bid Rank-L2,16-May-2023,,,,,
,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,344736.0,SUDHA THAKUR,01-May-2023 03:40 PM,Rejected-Finance,Bid Rank-L3,16-May-2023,,,,,
,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,344421.0,Thakur Manoj,30-Apr-2023 09:04 PM,Rejected-Finance,Bid Rank-L7,16-May-2023,,,,,
,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,344458.0,Thakur Singh,29-Apr-2023 12:59 PM,Rejected-Finance,Bid Rank-L4,16-May-2023,,,,,
,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,E-mail address and Contact Number of the Contractor/Firm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
