Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
Construction of Link road from Jatehri to balh Bhalana in GP Sasan Km 0/0 to 1/0,SH C O 5 7 metre wide FC i c Retaining wall on atvarious RDs C D work and P L GSB in Km 0 0 to 0 525,Please refer Tender documents. ,NA ,"20,56,764",Civil Works - Roads,NA ,Tender,60.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,PWD,C/O Link road from Jatehri to balh Bhalana,2023_PWD_74342_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,500.0,Nil,Nil,No,1.0,ICICI BANK,02-Jun-2023 09:00 AM,08-Jun-2023 11:00 AM,02-Jun-2023 09:00 AM,08-Jun-2023 10:30 AM,NA ,NA ,02-Jun-2023 09:00 AM,08-Jun-2023 10:30 AM,17-Jun-2023 11:00 AM,"38,400",No,fixed,,Nil,Nil,1.0,352617.0,Nikhil Sharma,INR,"1,604,276.23",Finance,Attached,Sanjay Katoch,23-Jun-2023 06:40 AM,finance_111520.pdf,BOQ Comparative Chart,1.0,352501.0,AASHISH KUMAR,07-Jun-2023 12:03 PM,Rejected-Finance,l2,23-Jun-2023,Technical,Attached,Sanjay Katoch,15-Jun-2023 07:47 AM,technical_111520.pdf,PWD,2023_PWD_74342_1,C/O Link road from Jatehri to balh Bhalana,Construction of Link road from Jatehri to balh Bhalana in GP Sasan Km 0/0 to 1/0,EE Hamirpur,Internal,Attached,Sanjay Katoch,16-Jun-2023 04:58 PM,17-Jun-2023 11:00 AM,techsummary_111520.pdf (982.23 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,23-Jun-2023 06:44 AM,finsummary_111520.pdf (584.03 KB),21-Jul-2023,"INR 1,604,276",90.0,Sanjay Katoch,21-Jul-2023 11:19 AM,AwardNikhilF.pdf (867.00 KB),Award Letter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,352509.0,AJAY THAKUR GOVT CONT,07-Jun-2023 02:32 PM,Rejected-Finance,l6,23-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,352288.0,BALAL,07-Jun-2023 12:03 PM,Rejected-Finance,l2,23-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,352281.0,MAHIPAL GOVT CONT,07-Jun-2023 03:59 PM,Rejected-Finance,l4,23-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,352617.0,Nikhil Sharma,07-Jun-2023 03:55 PM,Accepted-AOC,l1,21-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,352652.0,sumeet contractor,07-Jun-2023 02:03 PM,Rejected-Finance,l5,23-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,352814.0,V.V. CONSTRUCTION CO.,07-Jun-2023 11:06 PM,Rejected-Finance,l3,23-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
