Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",2023_HPIPH_72211_1,No. JSV-I/TA/ E-tender /2023- 759-88 Dt 12-04-2023,"Drilling , Lowering of assembly and development of 125 mtrs deep tubewell against defunct tubewell of water supply scheme Daulatpur Panjawar under CRF.",1.0,343037.0,LAKSHMI DRILLERS AND COMPANY,INR,"1,377,382",---,Internal,AOC,Vinod Kumar Dhiman,17-Jul-2023 03:24 PM,finsummary_108657.pdf (162.42 KB),Finance,summary attached,Vinod Kumar Dhiman,25-Apr-2023 02:00 PM,finance_108657.pdf,BOQ Comparative Chart,Technical,summary,Vinod Kumar Dhiman,25-Apr-2023 01:13 PM,technical_108657.pdf,17-Jul-2023,"INR 1,377,382",30.0,Vinod Kumar Dhiman,17-Jul-2023 03:25 PM,AOC.pdf (162.00 KB),AOC,--,Internal,---,Vinod Kumar Dhiman,25-Apr-2023 01:14 PM,25-Apr-2023 01:15 PM,techsummary_108657.pdf (99.43 KB),1.0,342893.0,Akarshan Jaswal,20-Apr-2023 02:58 PM,Rejected-Finance,Not found L-1,17-Jul-2023,"Drilling , Lowering of assembly and development of 125 mtrs deep tubewell against defunct tubewell of water supply scheme Daulatpur Panjawar under CRF.","Drilling , Lowering of assembly and development of 125 mtrs deep tubewell against defunct tubewell of water supply scheme Daulatpur Panjawar under CRF.",as per NIT  ,NA ,"18,23,688",Civil Works,NA ,Tender,120.0,30.0,Daulatpur Panjawar,174301.0,NA ,NA ,NA ,Una HP,No ,No,"36,474",Yes,fixed,,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,1.0,ICICI BANK,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,12-Apr-2023 06:00 PM,21-Apr-2023 11:00 AM,12-Apr-2023 06:00 PM,20-Apr-2023 05:00 PM,12-Apr-2023 06:00 PM ,20-Apr-2023 05:00 PM ,12-Apr-2023 06:00 PM,20-Apr-2023 05:00 PM,25-Apr-2023 01:15 PM,1.0,Fee/PreQual/Technical,.pdf,Registration with Jal Shakti department,400.0,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Yes,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",No. JSV-I/TA/ E-tender /2023- 759-88 Dt 12-04-2023,2023_HPIPH_72211_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,343037.0,LAKSHMI DRILLERS AND COMPANY,19-Apr-2023 10:45 PM,Accepted-AOC,Fond L-1,17-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,Cost of tender form (online/ offline mode),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,343075.0,vats associates,20-Apr-2023 10:10 AM,Rejected-Finance,Not found L-1,17-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (online/ offline mode),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,342094.0,Vijay Sharma Contractor,20-Apr-2023 04:52 PM,Rejected-Finance,Not found L-1,17-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST number along with latest copy of GST return file,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF number and Income Tax registration number or their latest clearance certificates,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding he has executed work two or more work,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD exemption certificate if exempted and affidavit of non exhaustion in case of exemption,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Rregistration with HP Ground Water Authority Shimla,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest Income tax return (ITR),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,
