Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.2,Instrument Type
03-Jul-2023,"INR 1,277,309.49",180.0,Manish Sehgal,03-Jul-2023 12:36 PM,AOC.pdf (242.00 KB),AOC,Sh.Manish Sehgal,Internal,,Manish Sehgal,03-Jul-2023 12:35 PM,finsummary_59668.pdf (124.39 KB),Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Harjeet Singh Supdt Suresh Kumar HDM Rachna Sood Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,05-Oct-2020 02:50 PM,05-Oct-2020 03:00 PM,techsummary_59668.pdf (1050.42 KB),PWD,2020_PWD_40414_1,Garh Boun to Upper Tikker Malkehr Chander to Chach,C/o Link road from Garh Boun to Upper Tikker Malkehr Chander to Chach Km 0/0 to 1/300,Technical,Bid Opening Summary,Manish Sehgal,05-Oct-2020 02:44 PM,technical_59668.pdf,1.0,178722.0,MNMCINFRA,22-Sep-2020 09:35 AM,Rejected-AOC,L3,03-Jul-2023,Finance,Summary,Manish Sehgal,03-Jul-2023 12:31 PM,finance_59668.pdf,BOQ Comparative Chart,1.0,178603.0,Om Parkash,INR,"1,277,309","22,400",No,fixed,,EE Bhawarna,Bhawarna,500.0,EE Bhawarna,Bhawarna,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,C/o Link road from Garh Boun to Upper Tikker Malkehr Chander to Chach Km 0/0 to 1/300,C/o R/wall at RD 1/263 to 1/300 in Both side,Please refer Tender documents. ,NA ,"11,19,654",Civil Works - Roads,NA ,Tender,120.0,180.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,07-Sep-2020 04:15 PM,22-Sep-2020 11:30 AM,07-Sep-2020 04:15 PM,22-Sep-2020 11:00 AM,NA ,NA ,07-Sep-2020 04:30 PM,22-Sep-2020 11:00 AM,05-Oct-2020 03:00 PM,PWD,Garh Boun to Upper Tikker Malkehr Chander to Chach,2020_PWD_40414_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,1.0,DD - Demand Draft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,178606.0,Nishant Kapoor,22-Sep-2020 09:19 AM,Rejected-AOC,L2,03-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",2.0,FDR - Fixed Deposit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,178603.0,Om Parkash,21-Sep-2020 04:53 PM,Accepted-AOC,L1,03-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,178727.0,RAJESH KUMAR GOVT. CONTRACTOR,22-Sep-2020 10:41 AM,Rejected-AOC,L4,03-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,178728.0,Virender Singh And Sons,22-Sep-2020 10:47 AM,Rejected-AOC,L5,03-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,
