Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :
PWD,JD/E Tender/2023-24-1078-80 dt.11-5-2023,2023_PWD_73435_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,M T of Link from Jhalta to Boulidhar Km 0.0 to 1.0 SH P L WBM G-II and Tarring work at RD 0.0 to 0.500 Deposit,M T of Link from Jhalta to Boulidhar Km 0.0 to 1.0 SH P L WBM G-II and Tarring work at RD 0.0 to 0.500 Deposit,Please refer Tender documents. ,NA ,"9,88,774",Civil Works,tarring ,Tender,60.0,90.0,JUBBAL,171205.0,NA ,NA ,NA ,JUBBAL,No ,No,17-May-2023 02:00 PM,27-May-2023 11:00 AM,17-May-2023 02:10 PM,26-May-2023 06:00 PM,NA ,NA ,17-May-2023 02:30 PM,26-May-2023 06:00 PM,30-May-2023 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,Enlistment of contractor,"19,775",Yes,fixed,,Nil,Nil,EXECUTIVE ENGINEER JUBBAL,HP PWD Jubbal,1.0,Extension of date,Date,,350.0,Nil,Nil,Yes,1.0,ICICI BANK,1.0,348251.0,AJAY SAUHTA,22-May-2023 03:37 PM,Accepted-AOC,ok,29-Jul-2023,Technical,2 nos of bids received,Virender Rajta,30-May-2023 11:41 AM,technical_110365.pdf,Finance,2 nos of bids opened,Virender Rajta,30-May-2023 04:31 PM,finance_110365.pdf,BOQ Comparative Chart,1.0,348251.0,AJAY SAUHTA,INR,"1,038,212",PWD,2023_PWD_73435_1,JD/E Tender/2023-24-1078-80 dt.11-5-2023,M T of Link from Jhalta to Boulidhar Km 0.0 to 1.0 SH P L WBM G-II and Tarring work at RD 0.0 to 0.500 Deposit,Executive Engineer,Internal,,Virender Rajta,30-May-2023 11:52 AM,30-May-2023 01:00 PM,techsummary_110365.pdf (954.49 KB),Executive Engineer,Internal,,Virender Rajta,30-May-2023 04:58 PM,finsummary_110365.pdf (977.29 KB),29-Jul-2023,"INR 1,038,212",90.0,Tarsem Singh,29-Jul-2023 11:33 AM,103.pdf (1025.00 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender and Earnest Money,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,348952.0,POOJA CHAUHAN,23-May-2023 02:38 PM,Rejected-Finance,ok,30-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affadavits True and Correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Affadavits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,detail of Machineries tools and Plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar type of Work done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
