Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Name,Address,S.No.2,Bank Name,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
01-Jul-2023,"INR 125,482",60.0,Devender Koundal,01-Jul-2023 10:15 AM,Award5.pdf (6848.00 KB),Award,Finance,financial opened,Devender Koundal,24-Jun-2023 02:23 PM,finance_111260.pdf,BOQ Comparative Chart,Technical,Technical bid opening,Devender Koundal,20-Jun-2023 12:22 PM,technical_111260.pdf,Seniorexecutiveengineer,Internal,"Sr. XEN, Divisional Accountant AE ESD Darlaghat",Devender Koundal,24-Jun-2023 11:29 AM,24-Jun-2023 01:00 PM,techsummary_111260.pdf (143.34 KB),1.0,353298.0,Chaman Lal Electrical and Hardware Contractor,12-Jun-2023 10:39 AM,Rejected-Finance,high rtaes,01-Jul-2023,HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,2023_HPSEB_74137_1,HPSEBL/AED/NIT-05/2023-24,LT Line Erection,1.0,352115.0,VINAY KUMAR SHARMA,INR,"125,482",Er. Devender Koundal (Sr. Xen.),Internal,Sr. XEN Divisional Accountant AE ESD Darlaghat,Devender Koundal,01-Jul-2023 10:11 AM,finsummary_111260.pdf (143.34 KB),Sr. Executive engineer,"Electrical Division, HPSEBL, Arki",1.0,ICICI BANK,1.0,Extension of date 2nd,Date,,29-May-2023 05:00 PM,20-Jun-2023 11:45 AM,29-May-2023 05:15 PM,20-Jun-2023 10:00 AM,NA ,NA ,29-May-2023 05:30 PM,20-Jun-2023 10:00 AM,24-Jun-2023 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,Tender Document fee and earnest money receipt,"1,242",Yes,fixed,,Nil,Nil,LT Line Erection,LT line Erection,Please refer Tender documents. ,NA ,"1,24,239",Electrical Works,NA ,Tender,180.0,60.0,Under ED Arki,173208.0,NA ,NA ,NA ,ED Arki,No ,No,HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,HPSEBL/AED/NIT-05/2023-24,2023_HPSEB_74137_1,Yes,Limited,Percentage,Works,2.0,No,No,Online,No,No,No,590.0,Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,354420.0,MEHAR CHAND,15-Jun-2023 10:38 AM,Rejected-Finance,high rates,01-Jul-2023,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.pdf,Technical and comm.work Experience of similar nature of work as per clause no 1.01 and 1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,352115.0,VINAY KUMAR SHARMA,05-Jun-2023 04:45 PM,Accepted-AOC,Lowest rates,01-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Class -A contractor License as per clause 1.01.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of net worth, avg financial turnover, liquid asset as per clause 1.02.2,1.02.3,1.02.4 from CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Bidder shall satisfy Bid capacity as clause 1.02.5 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,In case a bid is submitted by a joint venture all the qualification should be full as clause1.02.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate from banker as per clause 2.01.1 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Litigation history as per clause 2.01.4 ,Non blacklisting Affidavit,No deviation certi.as per Bid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No change of ownership (ITB vol-1,Sec-IIclause2.3.2 and letter of undertaking/Bidvalidity as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST and EPF registration,pan,self undertake of completion of work and studied all term and condition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
