Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.2,Instrument Type
01-Jul-2023,"INR 11,709,587.78",365.0,Manish Sehgal,06-Jul-2023 02:41 PM,AOC.pdf (804.00 KB),AOC,EE Manish Sehgal,Internal,"Er Vijay Verma AE Bhawarna, Er DS Thakur AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Manish Sehgal,30-Aug-2019 11:23 AM,finsummary_43146.pdf (657.54 KB),EE Manish Sehgal,Internal,"Er Vijay Verma AE Bhawarna, Er DS Thakur AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Manish Sehgal,18-Jul-2019 05:12 PM,19-Jul-2019 11:30 AM,techsummary_43146.pdf (967.47 KB),PWD,2019_PWD_29860_1,356-395,"Construction of Additional accommodation for Govt. Sr. Sec. School at Daroh in Tehsil Palampur, Distt. Kangra (H.P.)",Technical,Summary,Manish Sehgal,18-Jul-2019 05:09 PM,technical_43146.pdf,1.0,124792.0,M/S BALDEV KUMAR GOVT. CONTRACTOR,17-Jul-2019 01:20 PM,Rejected-Finance,L2,30-Aug-2019,1.0,124782.0,vikas parmar,INR,"11,115,375",Finance,SUMMARY,Manish Sehgal,30-Aug-2019 11:17 AM,finance_43146.pdf,BOQ Comparative Chart,"1,25,100",No,fixed,,EE Palampur,EE Palampur,"Construction of Additional accommodation for Govt. Sr. Sec. School at Daroh in Tehsil Palampur, Distt. Kangra (H.P.)","Construction of building portion ground floor, Ist floor and 2nd floor, including W.S. and S.I. Rain Water Harvesting System and septic Tank",Please refer Tender documents. ,NA ,"92,52,977",Civil Works - Buildings,NA ,Tender,120.0,365.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender doccument in shape of D.D. as per SBD.,"2,000",EE Palampur,EE Palampur,No,PWD,356-395,2019_PWD_29860_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,04-Jul-2019 10:00 AM,17-Jul-2019 03:00 PM,04-Jul-2019 10:30 AM,17-Jul-2019 02:30 PM,NA ,NA ,04-Jul-2019 11:00 AM,17-Jul-2019 02:30 PM,19-Jul-2019 11:30 AM,Executive Engineer,HPPWD Division Palampur,1.0,DD - Demand Draft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,124782.0,vikas parmar,17-Jul-2019 12:50 PM,Accepted-AOC,L1,06-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly approved by C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
