S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,162638.0,PRABHU AGARWALLA CONSTRUCTION PVT LTD,INR,91402200.0,1,162000,G N INFRA,16-Nov-2022 06:06 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Feb-2023 05:28 PM,Technical,Verified,SUSHIL KUMAR DAS,24-Feb-2023 05:28 PM,,Finance,Financial opened,MRIDUL TALUKDAR,24-Feb-2023 06:12 PM,,BOQ Comparative Chart,Public Works Roads Department,2022_PWD_27440_30,CE/DEV/TB/92/2022-23/03,MMUPPNA_RIDF_XXVIII_22_23_67,"Chief Engineer (Roads), PWRD, Assam",Internal,,MRIDUL TALUKDAR,25-Jul-2023 04:22 PM,finsummary_42193.pdf (877.76 KB),"Chief Engineer (Roads), PWRD, Assam",Internal,,SUSHIL KUMAR DAS,24-Feb-2023 05:32 PM,24-Feb-2023 05:35 PM,techsummary_42193.pdf (437.52 KB),25-Jul-2023,INR 9.14022E+7,365.0,MRIDUL TALUKDAR,25-Jul-2023 04:24 PM,MMUPPNA-RIDF67A.pdf (138.00 KB),Awarded as L1 Bidder,AOC,MMUPPNA_RIDF_XXVIII_22_23_67,"MMUPPNA_RIDF_XXVIII_22_23_67 Improvement of Japari Gerua Kuhtoli Patidoya Road (from ch 0.00km to 10.00km) under Mukhya Mantrir Unnoto Pakipath Nirman Achani for the year 2022-23 (RIDF - XXVIII), Laharighat LAC",Please refer Tender documents. ,NA ,"10,15,58,000",Civil Works,NA ,Tender,180.0,365.0,Laharighat,781003.0,"O/o the Chief Engineer, Roads,PWRD Assam ","O/o the Chief Engineer, Roads,PWRD Assam, chandmari, Guwahati-781003 ",09-Nov-2022 12:00 PM ,"O/o the Chief Engineer, Roads,PWRD Assam",No ,No,"20,000",Nil,Nil,No,Public Works Roads Department,CE/DEV/TB/92/2022-23/03,2022_PWD_27440_30,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Document,"Chief Engineer, PWD, Roads, Assam, Chandmari, Ghy","O/o the Chief Engineer, Roads,PWRD Assam, chandmari, Guwahati-781003",26-Oct-2022 12:00 PM,18-Nov-2022 02:30 PM,26-Oct-2022 12:00 PM,17-Nov-2022 02:00 PM,26-Oct-2022 12:00 PM ,09-Nov-2022 12:00 PM ,10-Nov-2022 02:00 PM,17-Nov-2022 02:00 PM,24-Feb-2023 05:35 PM,1.0,SBI Bank,"20,31,000",Yes,fixed,,Nil,Nil,AOC
,,,,,2,161846,GUNJ ASSOCIATES,17-Nov-2022 04:04 AM,Rejected-AOC,Rejected,25-Jul-2023 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3,161840,MD BADIQUL ISLAM,16-Nov-2022 08:13 PM,Rejected-AOC,Rejected,25-Jul-2023 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4,162050,Md. Jakir Hussain,17-Nov-2022 01:51 PM,Rejected-AOC,Rejected,25-Jul-2023 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5,161918,Ms Gunjan Construction,16-Nov-2022 07:59 PM,Rejected-AOC,Rejected,25-Jul-2023 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6,161448,M/S R.K Construction,11-Nov-2022 06:45 PM,Rejected-AOC,Rejected,25-Jul-2023 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form Of Bid,,,,,,,,,,,,,,,,,,,,AOC
,,,,,7,162690,M/s Sanwarmal Khetawat,17-Nov-2022 11:44 AM,Rejected-AOC,Rejected,25-Jul-2023 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,8,161977,PALLAB KUMAR PANDIT,16-Nov-2022 12:46 PM,Rejected-AOC,Rejected,25-Jul-2023 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,9,161449,Pankaj Pratim Deka,17-Nov-2022 10:41 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Feb-2023 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,10,162638,PRABHU AGARWALLA CONSTRUCTION PVT LTD,17-Nov-2022 10:53 AM,Accepted-AOC,Awarded,25-Jul-2023 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
