Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
Periodic Renewal on Rihri to Balhar Road for the year 2023-24 under Village Road,Providing and laying 30mm thick Bituminous Concrete with Paver Finisher on Km 2/000 to 3/000,Please refer to tender documents ,NA ,"12,13,358",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,"25,000",No,fixed,,Nil,Nil,PWD,EE Dehra letter No. 10815-20 dt. 04.02.2023,2023_PWD_68251_19,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,500.0,Nil,Nil,No,Executive Engineer,HPPWD Division Dehra,09-Feb-2023 10:00 AM,17-Feb-2023 11:30 AM,09-Feb-2023 10:00 AM,16-Feb-2023 06:00 PM,NA ,NA ,09-Feb-2023 10:00 AM,16-Feb-2023 06:00 PM,22-Feb-2023 04:10 PM,15-Jul-2023,"INR 1,213,358",30.0,Gurvachan Singh,15-Jul-2023 04:54 PM,68251_19Award.pdf (869.00 KB),Work award issued,1.0,324428.0,Sanjal Sharma,INR,"1,254,160",EE Dehra,Internal,"HDM,Supdt,DAO",Gurvachan Singh,18-Apr-2023 12:53 PM,finsummary_102817.pdf (996.79 KB),PWD,2023_PWD_68251_19,EE Dehra letter No. 10815-20 dt. 04.02.2023,Periodic Renewal on Rihri to Balhar Road for the year 2023-24 under Village Road,Finance,Summary,Gurvachan Singh,18-Apr-2023 12:50 PM,finance_102817.pdf,BOQ Comparative Chart,Technical,Summary,Dinesh Kumar Dhiman,22-Feb-2023 04:04 PM,technical_102817.pdf,EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,22-Feb-2023 04:06 PM,22-Feb-2023 04:10 PM,techsummary_102817.pdf (2900.99 KB),1.0,324449.0,aditya rana,16-Feb-2023 03:11 PM,Rejected-Finance,Highest Bidder,18-Apr-2023
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,324428.0,Sanjal Sharma,16-Feb-2023 05:24 PM,Accepted-AOC,L1,15-Jul-2023
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commitments under Dehra Division.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
