Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Finance,Summary,Arun Vashisht,19-Jun-2023 02:32 PM,finance_110432.pdf,BOQ Comparative Chart,1.0,350136.0,SUBHASH CHAND,INR,"2,529,240",Technical,Summary,Arun Vashisht,17-Jun-2023 05:21 PM,technical_110432.pdf,1.0,350210.0,AKSHAY RANA GOVT CONTRACTOR,27-May-2023 03:34 PM,Rejected-Finance,Highest Bidder,19-Jun-2023,05-Jul-2023,"INR 3,548,740",120.0,Arun Vashisht,05-Jul-2023 04:45 PM,73475_3Award.pdf (850.00 KB),Work award issued,EE Dehra,Internal,"HDM, Supdt, DAO",Arun Vashisht,19-Jun-2023 02:42 PM,finsummary_110432.pdf (475.67 KB),EE Dehra,Internal,"HDM, Supdt., DAO",Arun Vashisht,17-Jun-2023 05:28 PM,19-Jun-2023 11:30 AM,techsummary_110432.pdf (772.38 KB),PWD,2023_PWD_73475_3,EE Dehra letter No. 836-40 dated 8.05.2023,Upgradation of Badal Bridge to Jambal Bassi via Kanol Panimal Km. 0/00 to 3/200,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,PWD,EE Dehra letter No. 836-40 dated 8.05.2023,2023_PWD_73475_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer,HPPWD Division Dehra,"71,000",No,fixed,,Nil,Nil,Upgradation of Badal Bridge to Jambal Bassi via Kanol Panimal Km. 0/00 to 3/200,"P/L metalling and tarring at Rd.0/750 to 1/325, Hume pipe Culvert at RD. 2/720 to 3/050, embankment at RD. 2/540 to 3/200 and wire Crates etc.",Please refer to tender documents ,NA ,"35,48,740",Civil Works,NA ,Tender,75.0,120.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,"1,500",Nil,Nil,No,24-May-2023 10:00 AM,31-May-2023 11:30 AM,24-May-2023 10:00 AM,30-May-2023 06:00 PM,NA ,NA ,24-May-2023 10:00 AM,30-May-2023 06:00 PM,19-Jun-2023 11:30 AM
,,,,,,,,,,,,,,,,2.0,350331.0,ashish chaudhry,29-May-2023 10:45 AM,Rejected-Finance,Highest Bidder,19-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,350827.0,HARBANS SINGH,30-May-2023 08:58 AM,Rejected-Finance,Highest Bidder,19-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,350955.0,RAJAT KAJAL GOVT CONTRACTOR,30-May-2023 04:57 PM,Rejected-Finance,Highest Bidder,19-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5.0,350761.0,Rajinder Kumar,30-May-2023 12:44 PM,Rejected-Finance,Highest Bidder,19-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6.0,350136.0,SUBHASH CHAND,28-May-2023 02:53 PM,Accepted-AOC,L1,05-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
