S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
1.0,334559.0,KRANTI KUMAR,INR,"670,120",Finance,Bid opening summary,Sudhir Kumar Gupta,16-Mar-2023 02:03 PM,finance_106007.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Sudhir Kumar Gupta,15-Mar-2023 05:17 PM,technical_106007.pdf,1.0,334938.0,babu ram,14-Mar-2023 02:41 PM,Rejected-Finance,3rd Lowest,19-May-2023,24-Jul-2023,"INR 847,197",60.0,Parveen Kumar Verma,24-Jul-2023 01:34 PM,AOC70334_1.pdf (275.00 KB),AOC,ErParveenverma,Internal,ShSureshKumarHDMShManojKumarSupdtShAnilkumarantalsrDAO,Parveen Kumar Verma,19-May-2023 03:12 PM,finsummary_106007.pdf (275.28 KB),ErParveenverma,Internal,ShSureshvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,15-Mar-2023 05:18 PM,16-Mar-2023 11:00 AM,techsummary_106007.pdf (244.26 KB),PWD,2023_PWD_70334_1,SD-I-CTR-Tender-2023- 23721 dt 25-02-2023,"A/R and M/O Sainik Rest house at Longwood Shimla (HP) (SH Providing wall panelling ,wooden polish, Distempering and ceiling of Sainbik Rest house at Longwood Shimla)","A/R and M/O Sainik Rest house at Longwood Shimla (HP) (SH Providing wall panelling ,wooden polish, Distempering and ceiling of Sainbik Rest house at Longwood Shimla)","A/R and M/O Sainik Rest house at Longwood Shimla (HP) (SH Providing wall panelling ,wooden polish, Distempering and ceiling of Sainbik Rest house at Longwood Shimla)",As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,60.0,himla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),07-Mar-2023 06:00 PM,15-Mar-2023 11:00 AM,07-Mar-2023 06:00 PM,14-Mar-2023 04:00 PM,NA ,NA ,07-Mar-2023 06:00 PM,14-Mar-2023 04:00 PM,16-Mar-2023 11:00 AM,PWD,SD-I-CTR-Tender-2023- 23721 dt 25-02-2023,2023_PWD_70334_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"16,000",No,fixed,,Nil,Nil,350.0,Nil,Nil,No
,,,,,,,,,,,,,,,,2.0,334962.0,DALIP SINGH,14-Mar-2023 03:39 PM,Rejected-Finance,4th lowest,19-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,334625.0,Hari Singh,14-Mar-2023 11:45 AM,Rejected-Finance,5th Lowest,19-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Contractor registration (Refer General rule No.18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,334559.0,KRANTI KUMAR,13-Mar-2023 06:51 PM,Accepted-AOC,Awarded,24-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5.0,332794.0,Ranjan Sood,14-Mar-2023 01:00 PM,Rejected-Finance,2nd Lowest,19-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.26.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.( submit the original as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"email Mobile No , and Full Address",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
