Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.3,Bank Name,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description
EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,02-May-2023 12:56 PM,finsummary_107311.pdf (348.86 KB),14-Jul-2023,"INR 19,093,333",365.0,Sanjay Katoch,14-Jul-2023 07:19 PM,Award12.pdf (1480.00 KB),Award,PWD,2023_PWD_71265_1,C/O of residential Type-II Quarter 6 Nos. in Reven,Construction of residential Type-II Quarter 6 Nos in Revenue Colony at Hamirpur,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,18-Apr-2023 12:12 PM,18-Apr-2023 03:30 PM,techsummary_107311.pdf (3048.63 KB),1.0,339080.0,HIMALAYAN TECHNO GOVT CONTRACTOR,INR,"19,351,600.69",Finance,Attached,Sanjay Katoch,02-May-2023 12:53 PM,finance_107311.pdf,BOQ Comparative Chart,1.0,Corrigendum,Corrigendum,18-Apr-2023 11:30 AM,Corrigendum.pdf ,924.9,Technical Opening,Technical,Attached,Deepak Kapil,18-Apr-2023 12:07 PM,technical_107311.pdf,1.0,339080.0,HIMALAYAN TECHNO GOVT CONTRACTOR,28-Mar-2023 04:29 PM,Accepted-AOC,l1,14-Jul-2023,EE Hamirpur,Executive Engineer HPPWD Hamirpur,"5,000",Nil,Nil,No,"2,17,000",No,fixed,,Nil,Nil,21-Mar-2023 09:00 AM,29-Mar-2023 11:30 AM,21-Mar-2023 09:00 AM,29-Mar-2023 10:30 AM,NA ,NA ,21-Mar-2023 09:00 AM,29-Mar-2023 10:30 AM,18-Apr-2023 03:30 PM,PWD,C/O of residential Type-II Quarter 6 Nos. in Reven,2023_PWD_71265_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of residential Type-II Quarter 6 Nos in Revenue Colony at Hamirpur,SH C/o Building portion WSand SI Rain Water harvesting tank and Septic Tank,Please refer Tender documents. ,NA ,"1,84,47,665",Civil Works - Buildings,NA ,Tender,60.0,365.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,ICICI BANK,1.0,Corrigendum,Date,,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,338130.0,MAHIPAL GOVT CONT,28-Mar-2023 04:38 PM,Rejected-Finance,l2,02-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,. Minimum work done Certificate as per SBD 1.2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,339315.0,SUNIL KUMAR CONT,29-Mar-2023 10:15 AM,Rejected-Technical,Rejected,18-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,337887.0,Vijay Kumar Soni,25-Mar-2023 04:38 PM,Rejected-Technical,Rejected,18-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turn Over of last five year as certified by Chartered Accountant
