S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
1.0,339161.0,AMIT CHOUDHARY,INR,"6,461,504",Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,2023_HPCDP_70388_1,No. Agr. DPMU. KGR F (7) Tender/13/2022-1231,"C/o Flow Irrigation Scheme Bhedi Kuhal G.P. Minjhgram (Ladwara), Tehsil Shahpur, District-Kangra (H.P.)",Rajesh Kumar,Internal,OP Chauhan Vivek Saklani Pradeep Sharma Nandini Kapoor,Rajesh Kumar,14-Jun-2023 12:48 PM,finsummary_106087.pdf (193.29 KB),05-Jul-2023,"INR 6,461,504",365.0,Rajesh Kumar,05-Jul-2023 02:52 PM,AOCFISBHEDI.pdf (433.00 KB),AOC,Finance,Financial Evaluation Summary,Rajesh Kumar,29-Mar-2023 06:42 PM,finance_106087.pdf,BOQ Comparative Chart,Technical,Technical Evaluation,Rajesh Kumar,29-Mar-2023 05:58 PM,technical_106087.pdf,Rajesh Kumar,Internal,OP Chauhan Vivek Saklani Pardeep Sharma Nandini Kapoor,Rajesh Kumar,29-Mar-2023 06:02 PM,29-Mar-2023 06:05 PM,techsummary_106087.pdf (198.58 KB),1.0,334873.0,aatish choudhary govt. cont.,27-Mar-2023 09:09 PM,Rejected-Finance,"Being L3, Not Accepted",14-Jun-2023,District Project Manager O/o DPMU Palampur HPCDP P,"District Project Manager O/o DPMU HPCDP JICA ODA Phase-II, Opposite to Soil Testing Lab, Holta at Palampur","C/o Flow Irrigation Scheme Bhedi Kuhal G.P. Minjhgram (Ladwara), Tehsil Shahpur, District-Kangra (H.P.)","C/o Flow Irrigation Scheme Bhedi Kuhal G.P. Minjhgram (Ladwara), Tehsil Shahpur, District-Kangra (H.P.)",Please refer Tender documents. ,NA ,,Civil Works - Water Works,Flow Irrigation Scheme ,Tender,90.0,365.0,"G.P. Minjhgram (Ladwara), Tehsil Shahpur, District",176208.0,O/o DPMU Palampur HPCDP Phase-II ,"District Project Manager O/o DPMU HPCDP JICA ODA Phase-II, Opposite to Soil Testing Lab, Holta at Palampur ",22-Mar-2023 11:00 AM ,O/o DPMU Palampur HPCDP Phase-II,No ,No,07-Mar-2023 05:00 PM,29-Mar-2023 11:00 AM,07-Mar-2023 05:00 PM,28-Mar-2023 05:00 PM,NA ,NA ,07-Mar-2023 05:00 PM,28-Mar-2023 05:00 PM,29-Mar-2023 06:05 PM,"93,800",No,fixed,,"District Project Manager, HPCDP Phase-II",Palampur,"2,000","District Project Manager, HPCDP Phase-II",Palampur,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,No. Agr. DPMU. KGR F (7) Tender/13/2022-1231,2023_HPCDP_70388_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,339161.0,AMIT CHOUDHARY,28-Mar-2023 04:20 PM,Accepted-AOC,L1,05-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,338552.0,Ashok Soni,28-Mar-2023 03:57 PM,Rejected-Finance,"Being L2, Not Accepted",14-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,339041.0,Kuldeep Sood Govt. Contr.,28-Mar-2023 02:02 PM,Rejected-Finance,"Being L4, Not Accepted",14-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,339172.0,RustamSingh Govt Contractor,28-Mar-2023 04:38 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works in HP as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,339067.0,SEWA SINGH,28-Mar-2023 03:16 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily one work indicating experience in key activities as indicated in NIT Sr.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidders Qualification Forms as indicated in NIT Sr. No. 3(a) xi,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid PAN Card as indicated in NIT Sr. No. 3(a) xii,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should be registered under Goods and service tax as indicated in NIT Sr. No. 3(a) xiii,,,,,,,,,,,,,,
