Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
M/T of road from Badmain to Basantpur km 0/0 to7/0,"Improvement/widening 5/7 meter wide single lane standard in km 0/0 to 7/0,c/o of cross drainage work, M/T,c/oV-Shape drain,Essential Parapets,wire crate walls for dumping structure,W Metal beams crash barriers,kmstone,Sign board etc in km 0/0 to 7/00",AS PER SBD ,NA ,"5,91,14,681",Civil Works - Roads,NA ,Tender,75.0,540.0,DHAMI,171103.0,NA ,NA ,NA ,"Office of SE,4th Circle,HPPWD,Winterfield, Shimla3",No ,No,"11,82,295",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Corrigendum of Changes in Dates,Date,,08-May-2023 03:00 PM,27-May-2023 11:00 AM,08-May-2023 03:00 PM,26-May-2023 05:00 PM,NA ,NA ,08-May-2023 03:00 PM,26-May-2023 05:00 PM,07-Jun-2023 11:00 AM,PWD,6052023.0,2023_PWD_72961_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Form (Online) and Earnest Money (Online),"SE,4th Circle,HPPWD,Winterfield,Shimla-3","Superintending Engineer, 4th Circle, HPPWD, Shimla",1.0,346596.0,lov vij govt contractor,25-May-2023 09:46 AM,Rejected-Finance,L2,08-Jun-2023,Technical,Bid opening summary,Deepak Raj Chauhan,29-May-2023 04:42 PM,technical_109744.pdf,Finance,Bid Opening Summary,Deepak Raj Chauhan,08-Jun-2023 11:15 AM,finance_109744.pdf,BOQ Comparative Chart,1.0,349820.0,M/S SUKHDEV SHARMA CONTRACTOR,INR,"51,203,305","Superintending Engineer, 4th Circle, HPPWD, Shimla",Internal,"EE Dhami Division HPPWD Dhami, Member, EE 4th Circle HPPWD Shimla, Member, AE 4th Circle HPPWD Shimla, Member, CHD 4th Circle HPPWD Shimla, Member, Sr DAO Dhami Division HPPWD Dhami, Member",Deepak Raj Chauhan,05-Jun-2023 03:37 PM,07-Jun-2023 11:00 AM,techsummary_109744.pdf (432.17 KB),PWD,2023_PWD_72961_1,6052023.0,M/T of road from Badmain to Basantpur km 0/0 to7/0,14-Jul-2023,"INR 51,203,305",540.0,Deepak Raj Chauhan,26-Jul-2023 01:56 PM,AwardLetterBadmainBasantpur.pdf (601.00 KB),Award Letter Rs 46239045 as Construction Part and Maintenance part is fixed as RS 4964260,"Superintending Engineer, 4th Circle, HPPWD, Shimla",Internal,"EE Dhami Division HPPWD Dhami, Member, EE 4th Circle HPPWD Shimla, Member, AE 4th Circle HPPWD Shimla, Member, CHD 4th Circle HPPWD Shimla, Member, Sr DAO Dhami Division HPPWD Dhami, Member",Deepak Raj Chauhan,08-Jun-2023 01:31 PM,finsummary_109744.pdf (1078.25 KB)
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Corrigendum of Changes in Dates,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,2.0,349820.0,M/S SUKHDEV SHARMA CONTRACTOR,26-May-2023 04:33 PM,Accepted-AOC,L1,26-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done and work in hand as per Clause 4.2 (c) and 4.4A(b) of ITB Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant as per clause 4.2 (d) and 4.4 B (b) (i) of ITB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) as proforma given in Section 6 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Gazetted and Non-Gazetted HPPWD Employees related to Him(as per clause 4.4 B(c)of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of True and correct in all respect as per clause 4.4 B(a)(ii)of ITB and Format in Sec. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds EPF certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bidding Capacity/ C.A. Annual Report as per clause 4.4A(a) of ITB, Section 2 in SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
