Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.2,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address
Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,2023_HPCDP_71810_1,No. Agr. DPMU. KGR F (7) Tender/13/2022-01,"C/o Flow Irrigation Scheme Soian Kuhal at Village Panaper, G.P. Panaper, Tehsil Palampur, District Kangra (H.P.)",1.0,341296.0,AMIT CHOUDHARY,INR,"6,732,242",Rajesh Kumar,Internal,Bipan Samkaria Vivek saklani Pradeep Sharma Banita Sood,Rajesh Kumar,27-Jul-2023 11:16 AM,finsummary_108027.pdf (80.22 KB),Rajesh Kumar,Internal,Bipan Smakaria Vivek Saklani Pradeep Sharma Banita Sood,Rajesh Kumar,17-Apr-2023 07:51 PM,18-Apr-2023 10:00 AM,techsummary_108027.pdf (112.22 KB),1.0,341296.0,AMIT CHOUDHARY,10-Apr-2023 02:27 PM,Accepted-AOC,L1,27-Jul-2023,27-Jul-2023,"INR 6,732,242",365.0,Rajesh Kumar,27-Jul-2023 11:17 AM,AOCFISSOIAN.pdf (449.00 KB),aoc,Finance,Financial Proceeding,Rajesh Kumar,18-Apr-2023 04:44 PM,finance_108027.pdf,BOQ Comparative Chart,Technical,Technical Evaluation Summary,Rajesh Kumar,17-Apr-2023 07:49 PM,technical_108027.pdf,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,"2,000",District Project Manager O/o DPMU HPCDP JICA ODA,Palampur,No,"91,600",No,fixed,,District Project Manager O/o DPMU HPCDP JICA ODA,Palampur,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,No. Agr. DPMU. KGR F (7) Tender/13/2022-01,2023_HPCDP_71810_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,01-Apr-2023 06:00 PM,11-Apr-2023 11:00 AM,01-Apr-2023 06:55 PM,10-Apr-2023 05:00 PM,NA ,NA ,01-Apr-2023 06:55 PM,10-Apr-2023 05:00 PM,18-Apr-2023 10:00 AM,"C/o Flow Irrigation Scheme Soian Kuhal at Village Panaper, G.P. Panaper, Tehsil Palampur, District Kangra (H.P.)","C/o Flow Irrigation Scheme Soian Kuhal at Village Panaper, G.P. Panaper, Tehsil Palampur, District Kangra (H.P.)",Please refer Tender documents. ,NA ,,Civil Works - Water Works,Flow Irrigation Scheme ,Tender,90.0,365.0,"Village Panaper, G.P. Panaper, Tehsil Palampur, Di",176064.0,District Project Management Unit HPCDP JICA ODA Ph ,"District Project Management Unit HPCDP JICA ODA Phase-II, Opposite to Soil Testing Lab, Holta at Palampur ",06-Apr-2023 11:00 AM ,District Project Management Unit HPCDP JICA ODA Ph,No ,No,District Project Manager O/o DPMU HPCDP JICA ODA,"District Project Manager O/o DPMU HPCDP JICA ODA Phase-II, Opposite to Soil Testing Lab, Holta at Palampur"
,,,,,,,,,,,,,,,,,,,,,,2.0,341205.0,JOGINDER SINGH,10-Apr-2023 11:00 AM,Rejected-Finance,Rejected,27-Jul-2023,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3.0,341250.0,Kuldeep Sood Govt. Contr.,10-Apr-2023 04:02 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,17-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.0,341164.0,MADAN KATOCH,09-Apr-2023 10:18 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,17-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5.0,340922.0,Naveen Kumar,10-Apr-2023 09:54 AM,Rejected-Finance,Rejected,27-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily one work indicating exp. in key activities as indicated in NIT Sr.VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6.0,341341.0,SANJIV KUMAR,10-Apr-2023 04:21 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,17-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works in HP as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
