Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
1.0,Fee/PreQual/Technical,.pdf,"The Tender form fee in favour of Executive Engineer, JS Divn, Sarkaghat through online/Offline mode","5,08,234",Yes,fixed,,Executive Engineer,JS Division Sarkaghat,Executive Engineer,"Executive Engineer JS Division, Sarkaghat District Mandi HP","2,500",Executive Engineer,JS Division Sarkaghat,No,10-May-2023 05:00 PM,23-May-2023 11:30 AM,10-May-2023 05:00 PM,22-May-2023 05:00 PM,NA ,NA ,10-May-2023 05:00 PM,22-May-2023 05:00 PM,31-May-2023 04:00 PM,"Resilient and sustainable service delivery in water supply Schemes in Jal Shakti Sub Division Baldwara, Division Sarkaghat Distt. Mandi HP Under JJM",C/O Buffer storage Tanks).,. ,NA ,"4,75,73,407",Civil Works,NA ,Tender,120.0,365.0,Sarkaghat,175024.0,Dharampur ,Superintending Engineer Jal Shakti Circle Dharampur District Mandi HP ,19-May-2023 11:30 AM ,Executive Engineer JS Division Sarkaghat,No ,No,1.0,ICICI BANK,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Sarkaghat,Irrigation and Public Health,HP",EE-JSD-SKT-TA/E-Tender 2022-23-1589-50 dt.10.05.23,2023_HPIPH_73082_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Both(Online/Offline),No,No,No,1,348733,Akhilesh Chaudhary,22-May-2023 04:57 PM,Rejected-AOC,L3,12-Jul-2023,Er. Anil Kumar Superintending Engineer,Internal,,Sandeep Kant Sharma,31-May-2023 03:59 PM,31-May-2023 04:00 PM,techsummary_109911.pdf (3096.27 KB),Technical,Minutes of Meeting,Sandeep Kant Sharma,31-May-2023 03:58 PM,technical_109911.pdf,Finance,Mintues of the Meeting,Sandeep Kant Sharma,05-Jun-2023 02:19 PM,finance_109911.pdf,BOQ Comparative Chart,12-Jul-2023,"INR 42,397,000",365.0,Sandeep Kant Sharma,12-Jul-2023 04:36 PM,AOC.pdf (1427.00 KB),Er. Anil Kumar S.E.,Internal,,Sandeep Kant Sharma,26-Jun-2023 12:53 PM,finsummary_109911.pdf (3096.26 KB),1.0,348549.0,M/s.Pawan Kumar Sharma,INR,"42,397,000","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Sarkaghat,Irrigation and Public Health,HP",2023_HPIPH_73082_1,EE-JSD-SKT-TA/E-Tender 2022-23-1589-50 dt.10.05.23,"Resilient and sustainable service delivery in water supply Schemes in Jal Shakti Sub Division Baldwara, Division Sarkaghat Distt. Mandi HP Under JJM"
,,.pdf,"The Earnest Money in favour of Executive Engineer, JS Divn, Sarkaghat online/offline mode as per NIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2,348706,AMIT CHOUDHARY,22-May-2023 03:46 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Copy of Certificate of registration with Jal Shakti Vibhag in appropriate class as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,347671,GANTANTAR THAKUR,22-May-2023 04:55 PM,Rejected-AOC,L6,12-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Joint venture is not allowed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,347729,H. C. Bansal Engg. & Contt.,22-May-2023 12:10 PM,Rejected-AOC,L5,12-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"PAN (Permanent Account No.), income Tax, GST registration and EPF registration as per NIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,348478,Kartike Guleria,21-May-2023 11:24 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,authorization letter regarding (DSC)The contractor shall have obtained EPF/ESI reg. as per NiT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,348372,krishan kumar,20-May-2023 12:16 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,A scanned copy of undertaking that I have carefully studied all the terms and conditions as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,348708,MSC Roads and Bridges Private Limited,22-May-2023 03:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,348549,M/s.Pawan Kumar Sharma,21-May-2023 10:03 PM,Accepted-AOC,Awarded,12-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,348567,Neeraj Sharma,22-May-2023 10:09 AM,Rejected-AOC,L2,12-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,348701,Shashank Jagota Govt. Contractor,22-May-2023 04:45 PM,Rejected-AOC,L4,12-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,348665,SURINDER KUMAR,22-May-2023 04:35 PM,Rejected-AOC,L7,12-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
