Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Registration with Jal Shakti department,1.0,ICICI BANK,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",No. JSV-1/TA/ E-tender/2023- 3065-94 dt 06-05-23,2023_HPIPH_72926_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"21,687",Yes,fixed,,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Providing Multi Villages Piped Water Supply Scheme for Haroli Constituency in Haroli Block Distt. Una (H.P.),"SH Drilling, lowering of assembly development of 1 No. 175mm dia borewell ( Mini T/well 130 mtrs deep at vill. Nangal Khurd ( Ward No.2 Near Tobba) in Tehsil Haroli Distt Una, HP",as per NIT  ,NA ,"10,84,373",Civil Works,NA ,Tender,120.0,60.0,Nangal Khurd,174301.0,NA ,NA ,NA ,Una HP,No ,No,06-May-2023 05:00 PM,17-May-2023 11:00 AM,06-May-2023 05:00 PM,16-May-2023 05:00 PM,06-May-2023 05:00 PM ,16-May-2023 05:00 PM ,06-May-2023 05:00 PM,16-May-2023 05:00 PM,17-May-2023 01:15 PM,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,400.0,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Yes,17-Jul-2023,"INR 867,590",60.0,Vinod Kumar Dhiman,17-Jul-2023 03:13 PM,AOC.pdf (164.00 KB),AOC,Finance,summary,Vinod Kumar Dhiman,17-May-2023 02:56 PM,finance_109703.pdf,BOQ Comparative Chart,Technical,summary attached,Vinod Kumar Dhiman,17-May-2023 01:07 PM,technical_109703.pdf,---,Internal,-----,Vinod Kumar Dhiman,17-May-2023 01:12 PM,17-May-2023 01:15 PM,techsummary_109703.pdf (70.09 KB),1.0,347354.0,Akarshan Jaswal,16-May-2023 12:43 PM,Rejected-Finance,Not found L-1Not found L-1,17-Jul-2023,---,Internal,AOC,Vinod Kumar Dhiman,17-Jul-2023 03:12 PM,finsummary_109703.pdf (163.60 KB),"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",2023_HPIPH_72926_1,No. JSV-1/TA/ E-tender/2023- 3065-94 dt 06-05-23,Providing Multi Villages Piped Water Supply Scheme for Haroli Constituency in Haroli Block Distt. Una (H.P.),1.0,346999.0,Vijay Sharma Contractor,INR,"867,590"
,,.pdf,Cost of tender form (online/ offline mode),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,347427.0,HIMANSHU CHAUHAN,16-May-2023 03:27 PM,Rejected-Finance,found L-1,17-Jul-2023,,,,,,,,,,,,,,,
,,.pdf,Earnest Money (online/ offline mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,347397.0,Shiva Tubewell Works,16-May-2023 01:44 PM,Rejected-Finance,Not found L-1Not found L-1Not found L-1,17-Jul-2023,,,,,,,,,,,,,,,
,,.pdf,Copy of GST number along with latest copy of GST return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,346999.0,Vijay Sharma Contractor,15-May-2023 02:51 PM,Accepted-AOC,L-1,17-Jul-2023,,,,,,,,,,,,,,,
,,.pdf,Copy of EPF number and Income Tax registration number or their latest clearance certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Undertaking regarding he has executed work two or more work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,EMD exemption certificate if exempted and affidavit of non exhaustion in case of exemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Work done certificate , if any",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Latest Income Tax return (ITR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Rregistration with HP Ground Water Authority Shimla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
