Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :
PWD,TA-9807-9906dt29-10-2020,2020_PWD_42414_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,1.0,ICICI BANK,"Construction of ITI building at Kaffota in Sub-Tehesil Kamrou (Now Tehsil) District Sirmour HP (SH- Construction of building portion, Providing water supply and sanitary installation including construction of septic tank, rain harvesting tank,","Construction of ITI building at Kaffota in Sub-Tehesil Kamrou (Now Tehsil) District Sirmour HP (SH- Construction of building portion, Providing water supply and sanitary installation including construction of septic tank, rain harvesting tank",please refer to tender document ,NA ,,Civil Works - Roads,NA ,Tender,120.0,720.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,"5,000",Nil,Nil,No,12-Nov-2020 01:00 PM,26-Nov-2020 12:30 PM,12-Nov-2020 01:00 PM,25-Nov-2020 05:00 PM,NA ,NA ,12-Nov-2020 01:00 PM,25-Nov-2020 05:00 PM,10-Dec-2020 01:00 PM,EE Shillai,Executive Engineer HPPWD Shillai,"4,14,000",No,fixed,,Nil,Nil,1.0,189013.0,H. C. Bansal Engg. & Contt.,25-Nov-2020 03:14 PM,Rejected-Finance,Not Lowest,06-Feb-2021,Technical,technical summary,Pramod Upreti,09-Dec-2020 05:42 PM,technical_62876.pdf,Finance,Financial Summary,Pramod Upreti,06-Feb-2021 12:01 PM,finance_62876.pdf,BOQ Comparative Chart,1.0,187868.0,RGIENTERPRISES,INR,"51,657,158",PWD,2020_PWD_42414_1,TA-9807-9906dt29-10-2020,"Construction of ITI building at Kaffota in Sub-Tehesil Kamrou (Now Tehsil) District Sirmour HP (SH- Construction of building portion, Providing water supply and sanitary installation including construction of septic tank, rain harvesting tank,",EE Shillai,Internal,"AE Shillai, DAO, HDM, Supdt.",Pramod Upreti,09-Dec-2020 05:57 PM,10-Dec-2020 01:00 PM,techsummary_62876.pdf (1356.41 KB),EE Shillai,Internal,"AE Shillai, DAO, Supdt. HDM",Pramod Upreti,06-Feb-2021 12:06 PM,finsummary_62876.pdf (116.39 KB),24-Jul-2023,"INR 51,657,158",720.0,Narender verma,24-Jul-2023 03:36 PM,AOCitikaffota.pdf (3634.00 KB)
,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,187868.0,RGIENTERPRISES,25-Nov-2020 02:50 PM,Accepted-AOC,AOC,24-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,189198.0,Yashwant Singh Diwan,25-Nov-2020 04:21 PM,Rejected-Finance,Not lowest,06-Feb-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Scanned copy work done and work in hand general rule sr. No 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Scanned copy workdone minimum one similar workdone of amount notless than 40percent of estimate cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Scanned copy bidding capacity assessed certificate from Charted Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Sr. No. 28.2.a /C.A Annual report. (50 lac.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
