Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba",PWD,No.PWC-WA- 9025-9124 dated 31.8.22,2022_PWD_64734_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"28,700",No,fixed,,Nil,Nil,1.0,ICICI BANK,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,09-Sep-2022 01:00 PM,19-Sep-2022 11:30 AM,09-Sep-2022 01:00 PM,17-Sep-2022 05:00 PM,NA ,NA ,09-Sep-2022 01:00 PM,17-Sep-2022 05:00 PM,29-Sep-2022 11:30 AM,"Special repair of General Pool residential accommodation at Chamba(SH Providing M.S. stand for water storage Tank, painting work in type-III Quarter ,ADM and AC Quarter)","Special repair of General Pool residential accommodation at Chamba(SH Providing M.S. stand for water storage Tank, painting work in type-III Quarter ,ADM and AC Quarter)",Please refer Tender documents. ,NA ,"14,31,116",Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer, Chamba Division HPPWD Chamba",No ,No,1.0,301745.0,Umesh Mahajan,INR,"1,302,180",Finance,BOS,Jeet Singh Thakur,07-Oct-2022 07:58 PM,finance_97441.pdf,BOQ Comparative Chart,1.0,301559.0,Darshan Kumar,17-Sep-2022 03:51 PM,Rejected-Finance,2nd lowest,07-Oct-2022,Technical,BOS,Jeet Singh Thakur,24-Sep-2022 08:23 PM,technical_97441.pdf,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,24-Sep-2022 08:24 PM,29-Sep-2022 11:30 AM,techsummary_97441.pdf (229.79 KB),PWD,2022_PWD_64734_3,No.PWC-WA- 9025-9124 dated 31.8.22,"Special repair of General Pool residential accommodation at Chamba(SH Providing M.S. stand for water storage Tank, painting work in type-III Quarter ,ADM and AC Quarter)",24-Jul-2023,"INR 1,431,116",60.0,Rajeev Kumar,24-Jul-2023 07:52 PM,12068-74.pdf (712.00 KB),"Special repair of General Pool residential accommodation at Chamba(SH Providing M.S. stand for water storage Tank, painting work in type-III Quarter ,ADM and AC Quarter)",EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,07-Oct-2022 08:01 PM,finsummary_97441.pdf (132.83 KB)
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,301751.0,DHEERAJ PURI,16-Sep-2022 06:24 PM,Rejected-Finance,3rd lowest,07-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,301745.0,Umesh Mahajan,16-Sep-2022 05:43 PM,Accepted-AOC,work completed,24-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid G.S.T. Registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
