Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
01-Jul-2023,"INR 21,196,130",60.0,Rajinder Singh,01-Jul-2023 02:54 PM,sanjal.pdf (744.00 KB),ANNUAL MAINTENANCE PLAN ON NADAUN BANGANA ROAD,EE,Internal,Supdt HDM DAO,Vinod Kanwar,19-May-2023 05:31 PM,finsummary_105333.pdf (81.48 KB),Executive Engineer,Internal,"Supdt.,HDM,DAO",Rajinder Singh,13-Mar-2023 05:21 PM,14-Mar-2023 11:00 AM,techsummary_105333.pdf (1566.56 KB),PWD,2023_PWD_69854_1,PW-BARSAR-E-105-23-19602-701 DT 23.02.23,ANNUAL MAINTENANCE PLAN ON NADAUN BANGANA ROAD,Technical,Bid summary,Rajinder Singh,13-Mar-2023 05:18 PM,technical_105333.pdf,1.0,332743.0,DEEPAK JOSHI,08-Mar-2023 12:56 PM,Rejected-Finance,L 2,19-May-2023,Finance,bid opening,Vinod Kanwar,19-May-2023 05:28 PM,finance_105333.pdf,BOQ Comparative Chart,1.0,332924.0,Sanjal Sharma,INR,"17,984,916","5,000",Nil,Nil,No,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,ANNUAL MAINTENANCE PLAN ON NADAUN BANGANA ROAD,PROVIDING AND LAYING BITUMINOUS CONCRETE 30MM THICK IN KM. 1/00 TO 10/00 WITH PAVER FINISHER) DRRP NO. HP-03-03- VR0008 (UNDER PMGSY INCENTIVE).,Please refer Tender documents. ,NA ,"2,11,96,130",Civil Works - Roads,NA ,Tender,60.0,60.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,PWD,PW-BARSAR-E-105-23-19602-701 DT 23.02.23,2023_PWD_69854_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,44,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,1.0,ICICI BANK,02-Mar-2023 10:30 AM,09-Mar-2023 12:00 PM,02-Mar-2023 10:30 AM,09-Mar-2023 11:30 AM,NA ,NA ,02-Mar-2023 10:30 AM,09-Mar-2023 11:30 AM,14-Mar-2023 11:00 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,332995.0,Karan Raj Singh,08-Mar-2023 06:16 PM,Rejected-Finance,L 3,19-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,332723.0,OM PARKASH SHARMA AND SONS,09-Mar-2023 10:34 AM,Rejected-Finance,L 4,19-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,332924.0,Sanjal Sharma,09-Mar-2023 09:15 AM,Accepted-AOC,Work completed on 23.05.2023,01-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Last Five Years Turn Over duly signed by the C.A.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,
