Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"Up-gradation/ widening ,M/T on Dhurla to Jubbar via Ghichana road km 0/0 to 6/50(SH C/o Retaining structure,Cross drainage,P/L GSB, Base Course,OGPMC etc,V-shape drain, Essential Parapets,P/F sign board,kilometre stone etc in km 0/0 to 6/500(NABARD)","Up-gradation/ widening ,M/T on Dhurla to Jubbar via Ghichana road km 0/0 to 6/50(SH C/o Retaining structure,Cross drainage,P/L GSB, Base Course,OGPMC etc,V-shape drain, Essential Parapets,P/F sign board,kilometre stone etc in km 0/0 to 6/500(NABARD)",AS PER SBD ,NA ,"5,10,58,067",Civil Works - Roads,NA ,Tender,75.0,540.0,CHOPAL,171211.0,NA ,NA ,NA ,"Office of SE,4th Circle,HPPWD,Winterfield, Shimla3",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Form (Online),PWD,10042023.0,2023_PWD_72084_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,"10,22,000",No,fixed,,Nil,Nil,"SE,4th Circle,HPPWD,Winterfield,Shimla-3","SE,4th Circle,HPPWD,Winterfield,Shimla-3",12-Apr-2023 11:00 AM,24-Apr-2023 03:30 PM,12-Apr-2023 11:00 AM,24-Apr-2023 03:00 PM,NA ,NA ,12-Apr-2023 11:00 AM,24-Apr-2023 03:00 PM,06-May-2023 11:00 AM,1.0,343809.0,Ram Lal,INR,"44,967,494",Finance,Bid opening summary,Deepak Raj Chauhan,08-May-2023 01:32 PM,finance_108483.pdf,BOQ Comparative Chart,1.0,343809.0,Ram Lal,24-Apr-2023 02:40 PM,Accepted-AOC,L1,26-Sep-2023,Technical,Bid Opening Summary,Deepak Raj Chauhan,25-Apr-2023 10:55 AM,technical_108483.pdf,Superintending Engineer 4thCircle HPPWD Shimla,Internal,"EE Chopal Division HPPWD Chopal, Member, EE D 4th Circle HPPWD Shimla, Member, AE D 4th Circle HPPWD Shimla, Member, CHD 4th Circle HPPWD Shimla, Member",Deepak Raj Chauhan,04-May-2023 11:23 AM,06-May-2023 11:00 AM,techsummary_108483.pdf (405.54 KB),PWD,2023_PWD_72084_1,10042023.0,"Up-gradation/ widening ,M/T on Dhurla to Jubbar via Ghichana road km 0/0 to 6/50(SH C/o Retaining structure,Cross drainage,P/L GSB, Base Course,OGPMC etc,V-shape drain, Essential Parapets,P/F sign board,kilometre stone etc in km 0/0 to 6/500(NABARD)",13-Jul-2023,"INR 51,058,067",540.0,Deepak Raj Chauhan,26-Sep-2023 12:21 PM,DhurlaJubbar.pdf (776.00 KB),AWARD OF CONTRACT,"Superintending Engineer, 4th Circle, HPPWD, Shimla",Internal,"EE Chopal Division HPPWD Chopal, Member, EE D 4th Circle HPPWD Shimla, Member, AE D 4th Circle HPPWD Shimla, Member, CHD 4th Circle HPPWD Shimla, Member, DAO Chopal Division HPPWD Chopal,",Deepak Raj Chauhan,13-Jul-2023 04:12 PM,finsummary_108483.pdf (1509.45 KB)
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,The Earnest Money (Online),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,342924.0,Uttej Rathour,21-Apr-2023 04:37 PM,Rejected-Finance,L2 Quoted amount is for Construction Part only.,13-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done and work in hand as per Clause 4.2 (c) and 4.4A(b) of ITB Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant as per clause 4.2 (d) and 4.4 B (b) (i) of ITB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) as proforma given in Section 6 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Gazetted and Non-Gazetted HPPWD Employees related to Him(as per clause 4.4 B(c)of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of True and correct in all respect as per clause 4.4 B(a)(ii)of ITB and Format in Sec. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds EPF certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
