Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
28-Aug-2020 10:00 AM,23-Sep-2020 11:30 AM,28-Aug-2020 10:00 AM,23-Sep-2020 11:00 AM,NA ,NA ,28-Aug-2020 10:30 AM,23-Sep-2020 11:00 AM,06-Oct-2020 03:00 PM,1.0,DD - Demand Draft,500.0,EE Bhawarna,Bhawarna,No,Construction of link road Harizan Basti Baskehar to Khabli Km 0/0 to 2/0.,Metalling and Tarring in Km 0/0 to 1/600) Under SCSP),Please refer Tender documents. ,NA ,"18,84,140",Civil Works - Roads,NA ,Tender,120.0,180.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,"35,800",No,fixed,,EE Bhawarna,Bhawarna,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,1.0,Corrigendum2,Date,,PWD,C/o link road Harizan Basti Baskehar to Khabli,2020_PWD_39995_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,EE Manish Sehgal,Internal,"Er Joginder Kumar AE Bhawarna, Smt. Rachna Sood Sr. Asstt. for DAO, Sh Harjeet Singh Supdt, Sh Suresh Kumar HDM",Mast Ram Rana,06-Oct-2020 01:36 PM,06-Oct-2020 03:00 PM,techsummary_59053.pdf (964.83 KB),PWD,2020_PWD_39995_1,C/o link road Harizan Basti Baskehar to Khabli,Construction of link road Harizan Basti Baskehar to Khabli Km 0/0 to 2/0.,21-Jul-2023,"INR 1,884,140",180.0,Suresh Kumar Walia,21-Jul-2023 03:33 PM,AOC.pdf (370.00 KB),Award,Executive Engineer,Internal,AE Supdt DAO HDM,Suresh Kumar Walia,21-Jul-2023 03:31 PM,finsummary_59053.pdf (117.55 KB),1.0,178879.0,KARNAIL SINGH GOVT CONTRACTOR,22-Sep-2020 08:46 PM,Rejected-Finance,Lowest 2,21-Jul-2023,Technical,Summary,Mast Ram Rana,06-Oct-2020 01:33 PM,technical_59053.pdf,1.0,178711.0,SHIV KUMAR,INR,"2,779,818",Finance,Sum,Suresh Kumar Walia,21-Jul-2023 03:29 PM,finance_59053.pdf,BOQ Comparative Chart
,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,2.0,178004.0,M/s Kamala Enterprises,16-Sep-2020 07:12 PM,Rejected-Finance,Lowest 4,21-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,3.0,177904.0,Sanjeev,16-Sep-2020 01:24 PM,Rejected-Finance,Lowest 3,21-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,4.0,178711.0,SHIV KUMAR,23-Sep-2020 08:57 AM,Accepted-AOC,Award,21-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,5.0,178059.0,Suresh Kumar,17-Sep-2020 10:47 AM,Rejected-Technical,Non-Responsive,06-Oct-2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
