S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1.1,Bank Name
1.0,352114.0,VINAY KUMAR SHARMA,INR,"153,169",HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,2023_HPSEB_74146_1,HPSEBL/AED/NIT-06/2023-24,LT Line Erection,Seniorexecutiveengineer,Internal,Sr. XEN Divisional Accountant AE ESD Darlaghat,Devender Koundal,01-Jul-2023 10:22 AM,finsummary_111269.pdf (143.34 KB),01-Jul-2023,"INR 153,168",60.0,Devender Koundal,01-Jul-2023 10:26 AM,Award6.pdf (4918.00 KB),Award copy,Technical,Tender open,Devender Koundal,20-Jun-2023 01:10 PM,technical_111269.pdf,Finance,financially opened,Sachin Arya,24-Jun-2023 02:28 PM,finance_111269.pdf,BOQ Comparative Chart,1.0,353291.0,Chaman Lal Electrical and Hardware Contractor,10-Jun-2023 03:59 PM,Rejected-Finance,High rates,01-Jul-2023,Seniorexecutiveengineer,Internal,Sr.XEN Dvisional accountant AE ESD Darlaghat,Devender Koundal,24-Jun-2023 11:35 AM,24-Jun-2023 01:00 PM,techsummary_111269.pdf (143.34 KB),Sr. Executive engineer,"Electrical Division,HPSEBL,Arki",LT Line Erection,Erection of LT Line,Please refer Tender documents. ,NA ,"1,51,653",Electrical Works,NA ,Tender,180.0,60.0,Under ED Arki,173208.0,NA ,NA ,NA ,ED Arki,No ,No,HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,HPSEBL/AED/NIT-06/2023-24,2023_HPSEB_74146_1,Yes,Limited,Percentage,Works,2.0,No,No,Online,No,No,No,"1,516",No,fixed,,Nil,Nil,29-May-2023 05:45 PM,20-Jun-2023 01:00 PM,29-May-2023 06:00 PM,20-Jun-2023 10:00 AM,NA ,NA ,29-May-2023 06:30 PM,20-Jun-2023 10:00 AM,24-Jun-2023 01:00 PM,590.0,Nil,Nil,Yes,1.0,Extension of date 2nd,Date,,1.0,Fee/PreQual/Technical,.pdf,Tender Document fee and earnest money receipt,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,354438.0,MEHAR CHAND,15-Jun-2023 11:00 AM,Rejected-Finance,High rates,01-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tenchnical and comm.work Experience of similar nature of work as per clause no 1.01 and 1.02,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,352114.0,VINAY KUMAR SHARMA,05-Jun-2023 04:43 PM,Accepted-AOC,Lowest rates,01-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Class -A contractor Licence as per clause 1.01.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of net worth,avg. financial turnover, liquid asset as per clause 1.02.2,1.02.3,1.02.4 from CA",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Bidder shall satisfy Bid capacity as clause 1.02.5 of SBD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,In case a bid is submitted by a joint venture all the qualification should be full as clause1.02.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate from banker as per clause 2.01.1 of SBD.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Litigation history as per clause 2.01.4 ,Non blacklisting Affidavit,No deviation certi. as per Bid",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No change of ownership (ITB vol-1,Sec-IIclause2.3.2 and letter of undertaking/Bid validityas per SBD",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST and EPF registration,pan,self undertake of completion of work and studied all term and condition",,
