Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
HPSEBL||CE(OP) South||SE(OP) Solan,2023_HPSEB_73657_2,13-2023-24,13-2023-24,1.0,356286.0,Aman Electrical,INR,"2,891,130",Superintending Engineer,Internal,Committee Member detail uploaded,Mohan Singh Guleria,20-Jul-2023 03:05 PM,finsummary_112662.pdf (470.20 KB),Technical,Technical document downloaded successfully and Committee members detail uploaded,Mohan Singh Guleria,28-Jun-2023 11:45 AM,technical_112662.pdf,Finance,Price BID Downloaded successfully,Mohan Singh Guleria,07-Jul-2023 12:27 PM,finance_112662.pdf,BOQ Comparative Chart,20-Jul-2023,"INR 2,891,130",90.0,Mohan Singh Guleria,20-Jul-2023 05:11 PM,Award13.pdf (4511.00 KB),Detail Award uploaded,1.0,356286.0,Aman Electrical,24-Jun-2023 01:35 PM,Accepted-AOC,Awarded,20-Jul-2023,Superintending Engineer,Internal,Committee member detail uploaded,Mohan Singh Guleria,07-Jul-2023 12:09 PM,07-Jul-2023 12:10 PM,techsummary_112662.pdf (470.20 KB),"29,426",No,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Proof of EMD and Tender Fees,HPSEBL||CE(OP) South||SE(OP) Solan,13-2023-24,2023_HPSEB_73657_2,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,13-2023-24,E Tendering on partial turnkey basis for shifting of LT HT overhead lines connection with New Railway Line between Chandigarh Baddi Under Electrical Sub Division HPSEBL Baddi,A-Cllass electrical license with chief electrical inspector ,NA ,"29,42,626",Electrical Works,HT and LT ,Tender,180.0,90.0,Solan,173211.0,NA ,NA ,NA ,"SE (OP) Circle, HPSEBL, Solan",No ,No,1.0,ICICI BANK,Superintending Engineer,"SE (OP) Circle, HPSEBL, Solan Power House Road Saproon Solan",20-Jun-2023 10:00 AM,28-Jun-2023 11:30 AM,20-Jun-2023 10:15 AM,27-Jun-2023 04:00 PM,20-Jun-2023 10:30 AM ,20-Jun-2023 12:00 PM ,21-Jun-2023 12:00 PM,27-Jun-2023 04:00 PM,07-Jul-2023 12:10 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,357103.0,GLOBAL ENGINEERING,27-Jun-2023 11:45 AM,Rejected-Finance,Rejected,20-Jul-2023,,,,,,,,,,,,,,,,.pdf,A-Class Electrical License with Chief Electrical Inspector Shimla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,357176.0,ROHIT ENTERPRISES,27-Jun-2023 03:29 PM,Rejected-Finance,Rejected,20-Jul-2023,,,,,,,,,,,,,,,,.pdf,BID Capacity/Turnover Certificate with CA Certified as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate/completion certificate as per SBD Volume-I, Section-III, Clause No. 1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of ownership/litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPFO/ESI No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Joint Venture as per SBD, if applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
