EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
"1,842",No,fixed,,Nil,Nil,590.0,Nil,Nil,Yes,Sr. Executive engineer,Electrical Division Arki,01-Jun-2023 05:00 PM,19-Jun-2023 11:30 AM,01-Jun-2023 05:15 PM,19-Jun-2023 10:00 AM,NA ,NA ,01-Jun-2023 05:30 PM,19-Jun-2023 10:00 AM,24-Jun-2023 01:00 PM,1.0,ICICI BANK,LT extension and Augmentation,LT extension and Augmentation,Please refer Tender documents. ,NA ,"1,84,226",Electrical Works,NA ,Tender,180.0,60.0,Under ED Arki,173208.0,NA ,NA ,NA ,ED Arki,No ,No,HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,HPSEBL/AED/NIT-11/2023-24,2023_HPSEB_74297_1,Yes,Limited,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Extension of date,Date,,1.0,Fee/PreQual/Technical,.pdf,Tender Document fee and earnest money receipt,01-Jul-2023,"INR 125,274",60.0,Devender Koundal,01-Jul-2023 11:14 AM,awaard11.pdf (3561.00 KB),Awarded to Lowest Bidder,Finance,financially opened,Sachin Arya,24-Jun-2023 02:55 PM,finance_111465.pdf,BOQ Comparative Chart,Technical,bid opened,Sachin Arya,19-Jun-2023 11:52 AM,technical_111465.pdf,Seniorexecutiveengineer,Internal,Sr. Xen Divisional Accountant AE ESD Darlaghat,Devender Koundal,24-Jun-2023 12:04 PM,24-Jun-2023 01:00 PM,techsummary_111465.pdf (258.42 KB),1.0,353274.0,Chaman Lal Electrical and Hardware Contractor,10-Jun-2023 03:20 PM,Rejected-Finance,Higher Bid,01-Jul-2023,Er. Devender Koundal (Sr. Xen.),Internal,"Sr. Xen. ED Arki,Divisional Accountant,AE HPSEBL,Darla",Devender Koundal,01-Jul-2023 11:13 AM,finsummary_111465.pdf (258.42 KB),1.0,353283.0,SHIVA ELECTRICAL & HARDWARE,INR,"125,274",HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,2023_HPSEB_74297_1,HPSEBL/AED/NIT-11/2023-24,LT extension and Augmentation
,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical and comm.work Experience of similar nature of work as per clause no 1.01 and 1.02,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,354449.0,MEHAR CHAND,15-Jun-2023 11:39 AM,Rejected-Finance,Higher Bid,01-Jul-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Class -A contractor License as per clause 1.01.2,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,353283.0,SHIVA ELECTRICAL & HARDWARE,16-Jun-2023 10:27 AM,Accepted-AOC,Lowest Bidder,01-Jul-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of net worth, avg. financial turnover, liquid asset as per clause 1.02.2,1.02.3,1.02.4 fromCA",,,,,,,,,,,,,,,,,,,,,,,,,,4.0,353840.0,VINAY KUMAR SHARMA,13-Jun-2023 09:49 AM,Rejected-Finance,Higher Bid,01-Jul-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Bidder shall satisfy Bid capacity as clause 1.02.5 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,In case a bid is submitted by a joint venture all the qualification should be full as clause1.02.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate from banker as per clause 2.01.1 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Litigation history as per clause 2.01.4 ,Non blacklisting Affidavit,No deviation certi.as per Bid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No change of ownership (ITB vol-1,Sec-IIclause2.3.2 and letter of undertaking/Bid validity as per SB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST and EPF registration,pan,self undertake of completion of work and studied all term and condition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
