Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
500.0,Nil,Nil,No,1.0,ICICI BANK,25-Feb-2023 11:00 AM,04-Mar-2023 11:00 AM,25-Feb-2023 11:00 AM,04-Mar-2023 10:30 AM,NA ,NA ,25-Feb-2023 11:00 AM,04-Mar-2023 10:30 AM,06-Mar-2023 04:50 PM,PWD,No.PW.RGH.Tender-2022-23-11400 dt.24.02.2023,2023_PWD_69662_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,A/R and M/O Solan Meenus road KM 24/345 to 61/00(Sh C/o U-shaped drain with drain covers between KM 39/290 to 39/306 and 39/345 to 39/610 ).,A/R and M/O Solan Meenus road KM 24/345 to 61/00(Sh C/o U-shaped drain with drain covers between KM 39/290 to 39/306 and 39/345 to 39/610 ).,Please refer Tender documents. ,NA ,"13,56,091",Civil Works - Roads,NA ,Tender,75.0,30.0,HPPWD,171002.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,"27,500",No,fixed,,Nil,Nil,PWD,2023_PWD_69662_4,No.PW.RGH.Tender-2022-23-11400 dt.24.02.2023,A/R and M/O Solan Meenus road KM 24/345 to 61/00(Sh C/o U-shaped drain with drain covers between KM 39/290 to 39/306 and 39/345 to 39/610 ).,Er. Ram Singh EE,Internal,"Er. D.S Kaundal AE Smt. Pushpa Devi Supdt. G-II,Smt. Asha Dev HDM,Sh. Rajinder Kumar Supdt. G-II., Sh. Ghan Shyam Sr.Asstt.",Ram Singh Thakur,06-Mar-2023 04:46 PM,06-Mar-2023 04:50 PM,techsummary_105094.pdf (1306.33 KB),Er. Ram Singh EE,Internal,"Er. D.S Kaundal AE Smt. Pushpa Devi Supdt. G-II,Smt. Asha Devi HDM,Sh. Rajinder Kumar Supdt. G-II., Sh. Ghan Shyam Sr.Asstt.",Ram Singh Thakur,23-Mar-2023 10:36 AM,finsummary_105094.pdf (635.28 KB),13-Jul-2023,"INR 1,356,091",30.0,Ram Singh Thakur,13-Jul-2023 12:59 PM,AOC.pdf (1139.00 KB),work awarded to sh. Balbir Thakur,1.0,331293.0,Ankush kumar,03-Mar-2023 04:33 PM,Rejected-Finance,L2,23-Mar-2023,Technical,SUMMARY,Ram Singh Thakur,06-Mar-2023 04:39 PM,technical_105094.pdf,Finance,SUMMARY,Ram Singh Thakur,23-Mar-2023 10:34 AM,finance_105094.pdf,BOQ Comparative Chart,1.0,329858.0,Balbir Thakur,INR,"1,390,063"
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,329858.0,Balbir Thakur,04-Mar-2023 09:53 AM,Accepted-AOC,L1,13-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS, CONDITIONS, CONTRACT CLAUSES Refer Gen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
