Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.3,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
"5,000",Nil,Nil,No,1.0,ICICI BANK,PWD,SE-XIV-T-19779-878DT-24.3.23,2023_PWD_71802_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,01-Apr-2023 01:00 PM,12-Apr-2023 11:00 AM,01-Apr-2023 01:00 PM,11-Apr-2023 06:00 PM,NA ,NA ,01-Apr-2023 01:00 PM,11-Apr-2023 06:00 PM,06-May-2023 11:00 AM,Chiuni to Baggi Link Road From 0 / 0 KM. TO 2/ 805,"(SH- C/O Formation cutting, cross drainage, protection work, metalling and tarring, V-Shape side drain, road furniture and dumping site in km 0/0 to 2/805)",Please refer Tender documents. ,NA ,"3,93,20,986",Civil Works - Roads,NA ,Tender,75.0,365.0,ROHRU,171207.0,NA ,NA ,NA ,SUPERINTENDING ENGINEER 14TH CIRCLE HPPWD ROHRU,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),"7,86,000",No,fixed,,Nil,Nil,SUPERINTENDING ENGINEER 14TH CIRCLE HPPWD ROHRU,SUPERINTENDING ENGINEER 14TH CIRCLE HPPWD ROHRU,PWD,2023_PWD_71802_1,SE-XIV-T-19779-878DT-24.3.23,Chiuni to Baggi Link Road From 0 / 0 KM. TO 2/ 805,S.E.14TH CIRCLE ROHRU,Internal,"E.E ROHRU, A.E. (D)",Chuni Lal Azad,02-May-2023 04:12 PM,06-May-2023 11:00 AM,techsummary_108001.pdf (950.42 KB),S.E.14TH CIRCLE ROHRU,Internal,EE ROHRU,Duni Chand Chauhan,06-Jul-2023 01:33 PM,finsummary_108001.pdf (558.09 KB),06-Jul-2023,"INR 32,824,361.65",365.0,Duni Chand Chauhan,06-Jul-2023 03:24 PM,AL-ChiuniBagi.pdf (558.00 KB),Chiuni to Baggi Link Road From 0 / 0 KM. TO 2/ 805,1.0,341485.0,AJAY SAUHTA,11-Apr-2023 05:40 PM,Rejected-Finance,TENDER AWARDED TO FIRST LOWEST,06-Jul-2023,1.0,Tender Revocation,Chiuni to Baggi Link Road From 0 / 0 KM. TO 2/ 805,02-May-2023 04:03 PM,Summary.pdf ,404.71,Technical Opening,Technical,Bid Opening Summary,Chuni Lal Azad,02-May-2023 04:09 PM,technical_108001.pdf,Finance,Bid Opening Summary,Chuni Lal Azad,26-Jun-2023 12:23 PM,finance_108001.pdf,BOQ Comparative Chart,1.0,341432.0,Parkash Chand,INR,"32,824,361.65"
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,341480.0,Anil Chauhan,11-Apr-2023 05:50 PM,Rejected-Technical,Rejected as per clause 4.4A (b),02-May-2023,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,341583.0,Dinesh Chauhan,11-Apr-2023 04:34 PM,Rejected-Finance,TENDER AWARDED TO FIRST LOWEST,06-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,341432.0,Parkash Chand,11-Apr-2023 05:57 PM,Accepted-AOC,performance security amounting to Rs.9.00lac and 1.55lacs in shape of FDRs in favour of EE Rohru,06-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement (Refer General rul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand on the Performa mentioned at S.No.19 of Gen. Rules and Directions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
