Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Corrigendum Title,Corrigendum Type,View,S.No.1.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
27-Jul-2023,"INR 5,713,693",365.0,Rajesh Kumar,27-Jul-2023 11:00 AM,AOCFISCHHOONALA.pdf (594.00 KB),AOC,Finance,Financial Evaluation Summary,Rajesh Kumar,03-May-2023 03:51 PM,finance_108035.pdf,BOQ Comparative Chart,Technical,Technical Evaluation Summary,Rajesh Kumar,27-Apr-2023 10:49 AM,technical_108035.pdf,Rajesh Kumar,Internal,Bipan Samkaria Vivek saklani paradeep sharma banita sood,Rajesh Kumar,27-Apr-2023 10:56 AM,27-Apr-2023 11:00 AM,techsummary_108035.pdf (256.79 KB),1.0,340952.0,Ajay Kumar,08-Apr-2023 01:54 PM,Accepted-AOC,L1,27-Jul-2023,1.0,340952.0,Ajay Kumar,INR,"5,713,693",Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,2023_HPCDP_71818_1,No. Agr. DPMU. KGR F (7) Tender/13/2022--05,"C/o Flow Irrigation Scheme Chhoo Nala Kuhal at Village G.P. Sagoor, Tehsil Baijnath, District-Kangra (H.P.)",Rajesh Kumar,Internal,Bipan Samkaria Vivek Saklani Pradeep Saklani Banita Sood,Rajesh Kumar,27-Jul-2023 10:59 AM,finsummary_108035.pdf (128.22 KB),1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,District Project Manager O/o DPMU HPCDP JICA ODA,"District Project Manager O/o DPMU HPCDP JICA ODA Phase-II, Opposite to Soil Testing Lab, Holta at Palampur","C/o Flow Irrigation Scheme Chhoo Nala Kuhal at Village G.P. Sagoor, Tehsil Baijnath, District-Kangra (H.P.)","C/o Flow Irrigation Scheme Chhoo Nala Kuhal at Village G.P. Sagoor, Tehsil Baijnath, District-Kangra (H.P.)",Please refer Tender documents. ,NA ,,Civil Works - Water Works,Flow Irrigation Scheme ,Tender,90.0,365.0,"Village G.P. Sagoor, Tehsil Baijnath, District-Kan",176063.0,District Project Management Unit HPCDP JICA ODA Ph ,"District Project Management Unit HPCDP JICA ODA Phase-II, Opposite to Soil Testing Lab, Holta at Palampur ",06-Apr-2023 11:00 AM ,District Project Management Unit HPCDP JICA ODA Ph,No ,No,"2,000",District Project Manager O/o DPMU HPCDP JICA ODA,Palampur,No,1.0,Regarding Bid Document,Technical Bid,,1.0,DD - Demand Draft,01-Apr-2023 06:00 PM,11-Apr-2023 11:00 AM,01-Apr-2023 06:55 PM,10-Apr-2023 05:00 PM,NA ,NA ,01-Apr-2023 06:55 PM,10-Apr-2023 05:00 PM,27-Apr-2023 11:00 AM,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,No. Agr. DPMU. KGR F (7) Tender/13/2022--05,2023_HPCDP_71818_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"89,200",Yes,fixed,,District Project Manager O/o DPMU HPCDP JICA ODA,Palampur
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,341163.0,Bhikham Ram Kapoor,09-Apr-2023 10:30 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Apr-2023,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,341010.0,GANTANTAR THAKUR,10-Apr-2023 11:14 AM,Rejected-Finance,"Being L2, Rejected",27-Jul-2023,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,341101.0,GOKUL RAM,09-Apr-2023 11:04 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Apr-2023,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works in HP as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily one work indicating exp. in key activities as indicated in NIT Sr.VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
