Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name
Technical,SUMMARYATTACHED,Krishan Bhardwaj,28-Feb-2023 05:31 PM,technical_104416.pdf,1.0,327217.0,RAKESH CHAND GOVT. CONTRACTOR,22-Feb-2023 05:17 PM,Rejected-Finance,L2,11-Mar-2023,Finance,SUMMARYATTACHED,Krishan Bhardwaj,11-Mar-2023 03:23 PM,,BOQ Comparative Chart,1.0,327227.0,Sourabh Pathania Govt Contractor,INR,"1,485,926",EXECUTIVEENGINEER,Internal,SUPDT DAO HDM,Krishan Bhardwaj,11-Mar-2023 03:44 PM,finsummary_104416.pdf (600.14 KB),25-Jul-2023,"INR 1,485,926",60.0,Anil Kumar Sharma,25-Jul-2023 09:22 PM,69202.pdf (257.00 KB),AWARD,PWD,2023_PWD_69202_1,16937-45 dt. 13.02.2023,ROAD WORK,EXECUTIVEENGINEER,Internal,SUPDT DAO HDM,Krishan Bhardwaj,28-Feb-2023 06:09 PM,01-Mar-2023 11:30 AM,techsummary_104416.pdf (1672.11 KB),EXECUTIVE ENGINEER,EXECUTIVE ENGINEER,500.0,Nil,Nil,No,PWD,16937-45 dt. 13.02.2023,2023_PWD_69202_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"30,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment,ROAD WORK,at RD 648680 to 649305 and 650570 to 651870,Please refer Tender documents. ,NA ,,Civil Works,NA ,Rate Contract,75.0,60.0,AUNIDEVI,100000.0,NA ,NA ,NA ,AUNIDEVI,No ,No,17-Feb-2023 06:10 PM,23-Feb-2023 11:00 AM,17-Feb-2023 06:20 PM,23-Feb-2023 09:00 AM,NA ,NA ,17-Feb-2023 06:30 PM,23-Feb-2023 09:00 AM,01-Mar-2023 11:30 AM,1.0,ICICI BANK
,,,,,2.0,327227.0,Sourabh Pathania Govt Contractor,22-Feb-2023 05:33 PM,Accepted-AOC,AWARD,25-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, PAN, EPF, Labour license a/w TCC Copy of GST, PAN, EPF, Labour license a/w TCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 7, 8 duly signed by the contractor (General Rule No.26.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate during last five year and Work In Hand Certificate duly signed by the concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that the contractor has not more than two work in hand (General Rule No. 26.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder should must be uploaded working programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
