Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
C/o Balance work / Improvement of Yol Banordu Bhanwala road Km. 0/0 to 7/745,"SH - Improvevment of passing places, R/walls, C.D. work, GSB, WBM-II, WBM-III, tarring work, CC pavement, side drain and parapets including five year Routine maintenance (Under NABARD RIDF-XXVIII",Please refer Tender documents. ,NA ,"4,84,30,040",Civil Works,NA ,Tender,75.0,550.0,Dharamshala,176215.0,NA ,NA ,NA ,Palampur,No ,No,"5,000",Nil,Nil,No,30-May-2023 09:00 AM,12-Jun-2023 11:30 AM,30-May-2023 09:00 AM,08-Jun-2023 05:00 PM,NA ,NA ,30-May-2023 09:00 AM,08-Jun-2023 05:00 PM,17-Jun-2023 11:00 AM,Superintending Engineer,"Superintending Engineer, 5th Circle HP PWD Palampur","9,68,600",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Form of Bid for Part-I of the Bid as per Section-6.,PWD,palampur 2643-53,2023_PWD_73888_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,PWD,2023_PWD_73888_1,palampur 2643-53,C/o Balance work / Improvement of Yol Banordu Bhanwala road Km. 0/0 to 7/745,Er. M. P. Dhiman,Internal,"EE HP PWD Div Dharamshala, AE D 5th circle Palampur, Supdt G-II, 5th circle Palampur",Tarlok Dhiman,15-Jun-2023 04:43 PM,17-Jun-2023 11:00 AM,techsummary_110950.pdf (1248.22 KB),SE 5th Circle Palampur,Internal,"Ex En HPPWD Div Dharamshala, AE (D) 5th Circle HPPWD Palampur, DAO HPPWD Div Dharamshala and Supdt. Gr-II,5th Circle HPPWD Palampur",Tarlok Dhiman,04-Jul-2023 03:08 PM,finsummary_110950.pdf (359.71 KB),04-Jul-2023,"INR 48,416,753",550.0,Tarlok Dhiman,04-Jul-2023 03:12 PM,NavneetThakur.pdf (257.00 KB),Shri Navneet Thakur R/O Maned Chetru,1.0,351177.0,NAVNEET SHARMA,05-Jun-2023 11:29 AM,Rejected-Finance,Due to higher bidder,04-Jul-2023,Technical,Superintending Engineer 5th Circle HPPWD Palampur Executive Engineer HPPWD Division Dharamshala Assistant Engineer Design 5th Circle HPPWD Palampur Superintendent Grade-I 5th Circle HPPWD Palampur,Tarlok Dhiman,15-Jun-2023 03:56 PM,,Finance,As per document attached,Tarlok Dhiman,04-Jul-2023 02:58 PM,finance_110950.pdf,BOQ Comparative Chart,1.0,350877.0,Navneet Thakur,INR,"48,416,753"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Bid Security as per Section-2 Cl-16.1 (online),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,350877.0,Navneet Thakur,05-Jun-2023 11:13 AM,Accepted-AOC,L1,04-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,352846.0,rajat thakur govt contractor,08-Jun-2023 10:52 AM,Rejected-Finance,Due to higher bidder,04-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2), (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4) along with location of HMP as per Govt. Notification, (1.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section 3(1.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl(4.2 g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, Address of Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
