Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Technical,Summary uploaded,Vinod Shyam,17-Jun-2023 03:45 PM,technical_111931.pdf,1.0,354110.0,Laiq Ram Chauhan and Sons,14-Jun-2023 11:23 AM,Rejected-Finance,L2 BIDDER,22-Jun-2023,Finance,Summary updated,Vinod Shyam,22-Jun-2023 12:55 PM,finance_111931.pdf,BOQ Comparative Chart,1.0,354109.0,RAVINDER CHAUHAN,INR,"1,053,429",18-Jul-2023,"INR 1,005,191",60.0,Vinod Shyam,18-Jul-2023 04:33 PM,51.pdf (878.00 KB),Exeucutive Engineer,Internal,"XEN, AE, Supdt. HDM",Vinod Shyam,22-Jun-2023 12:57 PM,finsummary_111931.pdf (187.49 KB),Executive Engineer,Internal,"XEN,AE, Supdt. Gr-II",Vinod Shyam,17-Jun-2023 03:50 PM,17-Jun-2023 03:55 PM,techsummary_111931.pdf (2170.11 KB),PWD,2023_PWD_74676_2,PW-KD-E-Tender/2023-24-809-12 dtd 3-6-2023,Annural Repair and Maintenance of on (i) Kiari Link road in K.M. 0/00 to 5/00 (ii) Kiari Bahlidhar road in K.M. 0/00 to 4/500,07-Jun-2023 04:00 PM,16-Jun-2023 11:00 AM,07-Jun-2023 04:00 PM,15-Jun-2023 06:00 PM,NA ,NA ,07-Jun-2023 04:00 PM,15-Jun-2023 06:00 PM,17-Jun-2023 03:55 PM,Executive Engineer,HPPWD Division Kotkhai,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),500.0,Nil,Nil,No,Annural Repair and Maintenance of on (i) Kiari Link road in K.M. 0/00 to 5/00 (ii) Kiari Bahlidhar road in K.M. 0/00 to 4/500,Repair of Pot Holes at various RDs,Please refer Tender documents. ,NA ,"10,05,191",Civil Works - Roads,NA ,Tender,90.0,60.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,PWD,PW-KD-E-Tender/2023-24-809-12 dtd 3-6-2023,2023_PWD_74676_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"20,200",No,fixed,,Nil,Nil
,,,,,2.0,354109.0,RAVINDER CHAUHAN,14-Jun-2023 12:38 PM,Accepted-AOC,lowest bidder to awarded the work.,18-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18) OWNERSHIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
