S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,DD - Demand Draft,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,09-Oct-2020 04:00 PM,26-Oct-2020 11:30 AM,09-Oct-2020 04:05 PM,26-Oct-2020 11:00 AM,NA ,NA ,09-Oct-2020 04:30 PM,26-Oct-2020 11:00 AM,21-Nov-2020 03:30 PM,PWD,Panaper Har to Kholi-Bhawarna,2020_PWD_41528_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"33,800",No,fixed,,EE Bhawarna,Bhawarna,500.0,EE Bhawarna,Bhawarna,No,Balance work of c/o link road from Panaper Har to Kholi Km 0/0 to 2/800 i/c 30.00 mtr span Bridge over Tahal Khad,"C/o Edge wall in Km 0/100 to 0/180, R/wall in Km 0/260 to 0/280 (R/S), 0/370 to 0/420 (L/S) and C/o 4 Nos 600mm dia hume pipe culvert at RD 0/180, 0/240, 0/420, 0/670 and 3 Nos 900mm dia hume pipe culvert at RD 0/780, 0/895 and 1/300). (NABARD)",Please refer Tender documents. ,NA ,"17,48,248",Civil Works - Roads,NA ,Tender,120.0,180.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Harjeet Singh Supdt Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,21-Nov-2020 02:59 PM,21-Nov-2020 03:30 PM,techsummary_61277.pdf (929.98 KB),PWD,2020_PWD_41528_1,Panaper Har to Kholi-Bhawarna,Balance work of c/o link road from Panaper Har to Kholi Km 0/0 to 2/800 i/c 30.00 mtr span Bridge over Tahal Khad,03-Jul-2023,"INR 2,624,173.35",180.0,Manish Sehgal,03-Jul-2023 12:29 PM,AOC.pdf (354.00 KB),AOC,Sh.Manish Sehgal,Internal,,Manish Sehgal,03-Jul-2023 12:28 PM,finsummary_61277.pdf (114.66 KB),Finance,Summary,Manish Sehgal,03-Jul-2023 12:26 PM,finance_61277.pdf,BOQ Comparative Chart,1.0,183806.0,Manoj Kumar,INR,"2,602,331",1.0,183806.0,Manoj Kumar,24-Oct-2020 04:34 PM,Accepted-AOC,L1,03-Jul-2023,Technical,Bid opening summary,Manish Sehgal,21-Nov-2020 02:55 PM,technical_61277.pdf
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,183837.0,VISHAL PATHANIA,24-Oct-2020 06:43 PM,Rejected-AOC,L2,03-Jul-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
