S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
1.0,357254.0,HEERA LAL,INR,"414,841","HPSEBL||CE(Gen) Sundernagar||SE(Gen) Sarabai (Bhunter)||Sr. Xen TDC, Pandoh",2023_HPSEB_75325_1,HPSEBL/TCD/19/2023-24,"R/M of external sewerage line and sanitary system of residential / non-residential buildings situated at Jaral, Seogi",Sh. Rakesh Kumar,Internal,"Sh. Rajkumar AE, Sh. Nitin Upadhyaa AE",Rakesh Kumar,05-Jul-2023 03:30 PM,finsummary_112843.pdf (451.31 KB),"Sh. Rakesh Kumar, Sr. XEN",Internal,"Sh. Rajkumar Sharma, AE, Sh. Nitish Upadhyay, AE",Rakesh Kumar,04-Jul-2023 02:45 PM,04-Jul-2023 03:00 PM,techsummary_112843.pdf (559.43 KB),1.0,357852.0,Devinder Kumar,01-Jul-2023 12:59 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Jul-2023,Finance,financial summary,Rakesh Kumar,05-Jul-2023 03:26 PM,finance_112843.pdf,BOQ Comparative Chart,Technical,Minutes of meeting,Rakesh Kumar,04-Jul-2023 02:36 PM,technical_112843.pdf,05-Jul-2023,"INR 414,841",271.0,Rakesh Kumar,05-Jul-2023 03:45 PM,JARALAWARD.pdf (309.00 KB),AWARD OF WORK,590.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,COPY OF ADHAR CARD,"HPSEBL||CE(Gen) Sundernagar||SE(Gen) Sarabai (Bhunter)||Sr. Xen TDC, Pandoh",HPSEBL/TCD/19/2023-24,2023_HPSEB_75325_1,Yes,Open Tender,Turn-key,Services,2.0,No,No,Online,No,No,No,"R/M of external sewerage line and sanitary system of residential / non-residential buildings situated at Jaral, Seogi","R/M of external sewerage line and sanitary system of residential / non-residential buildings situated at Jaral, Seogi and Uba at Pandoh under TCSD No. I for the year 2023-24",Please refer Tender documents. ,NA ,"4,88,048",Miscellaneous Services,JOB ,Tender,180.0,275.0,PANDOH,175124.0,NA ,NA ,NA ,TCD PANDOH,No ,No,21-Jun-2023 06:00 PM,03-Jul-2023 11:00 AM,21-Jun-2023 06:00 PM,01-Jul-2023 02:30 PM,NA ,NA ,21-Jun-2023 06:00 PM,01-Jul-2023 02:30 PM,04-Jul-2023 03:00 PM,1.0,ICICI BANK,XEN TCD PANDOH,XEN TCD HPSEBL PANDOH,"10,340",Yes,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,2.0,357836.0,GAURI RAM,01-Jul-2023 12:00 PM,Rejected-Finance,L2,05-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF REGISTRATION OF CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3.0,357254.0,HEERA LAL,30-Jun-2023 04:56 PM,Accepted-AOC,Qualified,05-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COY OF PAN CARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.0,357800.0,RAKESH KUMAR,01-Jul-2023 09:57 AM,Rejected-Finance,L1,05-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF INCOME TAX CLEARANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DECLARATION OF NON-BLACKLISTING ON NON JUDICIAL STAMP PAPER RS. 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,INCOME TAX RETURN OF LAST THREE YEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,similar work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of EPFO registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of ESI REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
