Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,28-Mar-2023 03:42 PM,finsummary_103843.pdf (243.13 KB),22-Jul-2023,"INR 1,022,626",30.0,Arun Vashisht,22-Jul-2023 11:27 AM,68831_7Award.pdf (380.00 KB),Work award issued,PWD,2023_PWD_68831_7,EE Dehra letter No. 11076-81 dt. 13.02.2023,Construction of Nehran Pukhar to Sount road in Km. 0/000 to 2/065,EE Dehra,Internal,"HDM,Supdt, DAO",Dinesh Kumar Dhiman,04-Mar-2023 01:31 PM,04-Mar-2023 01:35 PM,techsummary_103843.pdf (1677.42 KB),Technical,Summary,Dinesh Kumar Dhiman,04-Mar-2023 01:08 PM,technical_103843.pdf,1.0,327319.0,Anil Walia,23-Feb-2023 04:42 PM,Rejected-Finance,Highest Bidder,28-Mar-2023,Finance,Summary,Dinesh Kumar Dhiman,28-Mar-2023 03:15 PM,finance_103843.pdf,BOQ Comparative Chart,1.0,328179.0,Shubham kapoor,INR,"716,928",1.0,ICICI BANK,500.0,Nil,Nil,No,Construction of Nehran Pukhar to Sount road in Km. 0/000 to 2/065,P/L Interlocking Paver Block 80mm thick and V-shape drain at RD 0/400 to 0/530,Please refer to tender documents ,NA ,"10,22,626",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,16-Feb-2023 10:00 AM,24-Feb-2023 11:30 AM,16-Feb-2023 10:00 AM,23-Feb-2023 06:00 PM,NA ,NA ,16-Feb-2023 10:00 AM,23-Feb-2023 06:00 PM,04-Mar-2023 01:35 PM,PWD,EE Dehra letter No. 11076-81 dt. 13.02.2023,2023_PWD_68831_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPPWD Division Dehra,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,"21,000",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,328033.0,ashish chaudhry,23-Feb-2023 03:24 PM,Rejected-Finance,Highest Bidder,28-Mar-2023,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,324278.0,RAJ KUMAR,21-Feb-2023 09:04 AM,Rejected-Finance,Highest Bidder,28-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,328152.0,ROHIT SHARMA,23-Feb-2023 02:40 PM,Rejected-Finance,Highest Bidder,28-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,327009.0,SARVAGYA GOVT CONTRACTOR,22-Feb-2023 05:18 PM,Rejected-Finance,Highest Bidder,28-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commitments under Dehra Division.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,328179.0,Shubham kapoor,23-Feb-2023 03:49 PM,Accepted-AOC,L1,22-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,325607.0,SHUBHAM THAKUR,23-Feb-2023 03:41 PM,Rejected-Finance,Highest Bidder,28-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,325620.0,VISHAL DHIMAN GOVT CONTRACTOR,23-Feb-2023 11:46 AM,Rejected-Finance,Highest Bidder,28-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,
