Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address
Finance,financially open,Sachin Arya,24-Jun-2023 02:42 PM,finance_111307.pdf,BOQ Comparative Chart,Technical,Tech bid open,Devender Koundal,21-Jun-2023 02:14 PM,technical_111307.pdf,01-Jul-2023,"INR 104,085",60.0,Devender Koundal,01-Jul-2023 10:48 AM,awaard8.pdf (4387.00 KB),Awarded to L1,Seniorexecutiveengineer,Internal,Sr. XEN Divisional Accountant AE ESD Adrlaghat,Devender Koundal,24-Jun-2023 11:58 AM,24-Jun-2023 01:00 PM,techsummary_111307.pdf (488.11 KB),1.0,353284.0,Chaman Lal Electrical and Hardware Contractor,10-Jun-2023 03:43 PM,Rejected-Finance,Higher Bid,01-Jul-2023,1.0,352676.0,VINAY KUMAR SHARMA,INR,"104,085",HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,2023_HPSEB_74174_1,HPSEBL/AED/NIT-08/2023-24,Erection of LT line,Er. Devender Koundal (Sr. Xen.),Internal,"Sr.Xen,Divisional Accountant,Assistant Engineer HPSEBL,Darla",Devender Koundal,01-Jul-2023 10:45 AM,finsummary_111307.pdf (488.11 KB),"1,030",No,fixed,,Nil,Nil,HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,HPSEBL/AED/NIT-08/2023-24,2023_HPSEB_74174_1,Yes,Limited,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,2ND Extension of date,Date,,Erection of LT line,Erection of LT line,Please refer Tender documents. ,NA ,"1,03,055",Electrical Works,NA ,Tender,180.0,60.0,Under ED Arki,173208.0,NA ,NA ,NA ,ED Arki,No ,No,30-May-2023 02:15 PM,21-Jun-2023 02:00 PM,30-May-2023 02:30 PM,20-Jun-2023 05:00 PM,NA ,NA ,30-May-2023 04:00 PM,20-Jun-2023 05:00 PM,24-Jun-2023 01:00 PM,1.0,ICICI BANK,590.0,Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,Tender Document fee and earnest money receipt,Sr. Executive engineer,ED Arki
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,355611.0,SHIVA ELECTRICAL & HARDWARE,20-Jun-2023 03:03 PM,Rejected-Finance,Higher Bid,01-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Technical and comm.work Experience of similar nature of work as per clause no 1.01 and 1.02,,
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,352676.0,VINAY KUMAR SHARMA,20-Jun-2023 03:16 PM,Accepted-AOC,Found Lowest,01-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Class -A contractor Licence as per clause 1.01.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of net worth, avg. financial turnover, liquid asset as per clause 1.02.2,1.02.3,1.02.4 from C",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Bidder shall satisfy Bid capacity as clause 1.02.5 of SBD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,In case a bid is submitted by a joint venture all the qualification should be full as clause1.02.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate from banker as per clause 2.01.1 of SBD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Litigation history as per clause 2.01.4 ,Non blacklisting Affidavit,No deviation certi.as per Bid",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No change of ownership (ITB vol-1,Sec-IIclause2.3.2 and letter of undertaking/Bid validity as per SB",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST and EPF registration,pan,self undertake of completion of work and studied all term and condition",,
