Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Instrument Type,Name,Address,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description
Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,21-Jul-2023 03:40 PM,finsummary_59043.pdf (114.08 KB),21-Jul-2023,"INR 1,235,210",365.0,Suresh Kumar Walia,21-Jul-2023 03:41 PM,AOC.pdf (218.00 KB),Award,PWD,2020_PWD_39991_1,C/o Veterinary Dispensary at Gharana,Construction of Veterinary Dispensary at Gharana District Kangra (HP),EE Manish Sehgal,Internal,"Er Joginder Kumar AE Bhawarna, Smt. Rachna Sood Sr. Asstt. for DAO, Sh Harjeet Singh Supdt, Sh Suresh Kumar HDM",Mast Ram Rana,06-Oct-2020 01:31 PM,06-Oct-2020 03:00 PM,techsummary_59043.pdf (923.40 KB),Technical,Summary,Mast Ram Rana,06-Oct-2020 01:29 PM,technical_59043.pdf,1.0,177016.0,ISHWAR SINGH RANA,10-Sep-2020 11:32 AM,Rejected-Finance,Lowest 3,21-Jul-2023,Finance,sum,Suresh Kumar Walia,21-Jul-2023 03:36 PM,finance_59043.pdf,BOQ Comparative Chart,1.0,177122.0,Mehar Chand Govt. Contractor,INR,"1,531,735",500.0,EE Bhawarna,Bhawarna,No,Construction of Veterinary Dispensary at Gharana District Kangra (HP),"Construction of building portion including water supply and sanitary installation, construction of septic tank and providing rain water harvesting system",Please refer Tender documents. ,NA ,"12,35,210",Civil Works - Buildings,NA ,Tender,120.0,365.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,28-Aug-2020 10:00 AM,23-Sep-2020 11:30 AM,28-Aug-2020 10:00 AM,23-Sep-2020 11:00 AM,NA ,NA ,28-Aug-2020 10:30 AM,23-Sep-2020 11:00 AM,06-Oct-2020 03:00 PM,1.0,DD - Demand Draft,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,1.0,Corrigendum2,Date,,PWD,C/o Veterinary Dispensary at Gharana,2020_PWD_39991_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"24,800",No,fixed,,EE Bhawarna,Bhawarna,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,177122.0,Mehar Chand Govt. Contractor,11-Sep-2020 10:58 AM,Accepted-AOC,Award,21-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,178920.0,PRANSHU SHARMABUILDER,23-Sep-2020 10:53 AM,Rejected-Finance,Lowest 2,21-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.
