EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
"56,000",No,fixed,,Nil,Nil,Executive Engineer,HPPWD Division Dehra,17-May-2022 06:30 PM,25-May-2022 11:30 AM,17-May-2022 06:30 PM,24-May-2022 06:00 PM,17-May-2022 06:30 PM ,21-May-2022 04:00 PM ,17-May-2022 06:30 PM,24-May-2022 06:00 PM,30-May-2022 06:50 PM,"1,500",Nil,Nil,No,C/o link road Nehar Gohar Kundli Har road Village Gungala to Village Parol Dehrian Khabli road,"C/o Edge wall at RD 0/700 to 1/00, CC Pavement at RD 0/700 to 1/110 and 1/250 to 1/345, P/L GSB at RD 0/700 to 1/110,G-II at RD 0/700 to 1/110 and RD 1/250 to 1/345 and HP Culvert at RD 0/800",Please refer to tender documents  ,NA ,"28,03,250",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,PWD,EE Dehra Letter No.1277-82 dated 05.05.2022,2022_PWD_60703_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,1.0,ICICI BANK,PWD,2022_PWD_60703_9,EE Dehra Letter No.1277-82 dated 05.05.2022,C/o link road Nehar Gohar Kundli Har road Village Gungala to Village Parol Dehrian Khabli road,EE Dehra,Internal,"HDM, Supdt, DOA",Dinesh Kumar Dhiman,30-May-2022 06:34 PM,30-May-2022 06:50 PM,techsummary_91722.pdf (289.11 KB),EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,06-Sep-2022 03:48 PM,finsummary_91722.pdf (191.36 KB),22-Jul-2023,"INR 2,083,064",30.0,Arun Vashisht,22-Jul-2023 11:34 AM,60703_9Award.pdf (400.00 KB),Work award issued,1.0,283641.0,ashish chaudhry,24-May-2022 04:47 PM,Rejected-Finance,Highest Bidder,06-Sep-2022,Technical,Technical bid opened on 25.05.2022,Dinesh Kumar Dhiman,30-May-2022 06:15 PM,technical_91722.pdf,Finance,Summary,Dinesh Kumar Dhiman,06-Sep-2022 03:40 PM,finance_91722.pdf,BOQ Comparative Chart,1.0,283453.0,VIPAN KUMAR GOVT. CONTRACTOR,INR,"2,083,064"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,2.0,283453.0,VIPAN KUMAR GOVT. CONTRACTOR,24-May-2022 04:01 PM,Accepted-AOC,L1,22-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
