Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Finance,Summary,Manish Sehgal,03-Jul-2023 03:41 PM,finance_55612.pdf,BOQ Comparative Chart,1.0,162837.0,Saurabh Vashishath,INR,"3,835,157.41",Technical,Bid opening summary,Manish Sehgal,01-Jul-2020 10:46 AM,technical_55612.pdf,1.0,162622.0,Anubhav Sharma,15-Jun-2020 05:21 PM,Rejected-AOC,L2,03-Jul-2023,03-Jul-2023,"INR 3,848,569.21",365.0,Manish Sehgal,03-Jul-2023 03:44 PM,AOC.pdf (461.00 KB),AOC,Sh.Manish Sehgal,Internal,,Manish Sehgal,03-Jul-2023 03:43 PM,finsummary_55612.pdf (460.66 KB),Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Harjeet Singh Supdt Suresh Kumar HDM Dayal Singh Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,01-Jul-2020 10:50 AM,01-Jul-2020 11:00 AM,techsummary_55612.pdf (1009.25 KB),PWD,2020_PWD_37741_1,C/o of Add. accommodation of Govt. School at Purba,"Construction of Additional accommodation of Govt. School at Purba in Tehsil Dheera, Distt. Kangra (H.P.)",1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,"Construction of Additional accommodation of Govt. School at Purba in Tehsil Dheera, Distt. Kangra (H.P.)","Construction of building portion First Floor, Second Floor and rain harvesting system",Please refer Tender documents. ,NA ,"32,98,615",Civil Works - Buildings,NA ,Tender,120.0,365.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,"1,500",EE Bhawarna,Bhawarna,No,1.0,DD - Demand Draft,"57,000",No,fixed,,EE Bhawarna,Bhawarna,PWD,C/o of Add. accommodation of Govt. School at Purba,2020_PWD_37741_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,04-Jun-2020 10:00 AM,18-Jun-2020 11:30 AM,04-Jun-2020 10:05 AM,18-Jun-2020 11:00 AM,NA ,NA ,04-Jun-2020 10:30 AM,18-Jun-2020 11:00 AM,01-Jul-2020 11:00 AM
,,,,,,,,,,,,,,,,2.0,162709.0,KARNAIL SINGH GOVT CONTRACTOR,17-Jun-2020 08:41 PM,Rejected-AOC,L5,03-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,163144.0,Mahesh Sharma,18-Jun-2020 10:58 AM,Rejected-AOC,L3,03-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,162837.0,Saurabh Vashishath,16-Jun-2020 05:01 PM,Accepted-AOC,L1,03-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5.0,163119.0,SHIV KUMAR,17-Jun-2020 08:58 PM,Rejected-AOC,L4,03-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP.PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
