Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address
Sh. Suresh Kumar Walia,Internal,,Anand Katoch,07-Jun-2023 04:33 PM,finsummary_110672.pdf (127.59 KB),05-Jul-2023,"INR 2,600,654.35",180.0,Manish Sehgal,05-Jul-2023 12:13 PM,AOC.pdf (397.00 KB),AOC,PWD,2023_PWD_73646_1,NIT No.2375-2434 DT.17-05-2023-Bhawarna,Construction of Additional accommodation of Govt. Sen. Sec. School at Marhoon Tehsil Dheera Distt Kangra (HP),Sh. Suresh Kumar Walia,Internal,Anand Katoch AEtoEE Subhash Chand Supdt. Mukesh Kumar JDM Pradeep Kumar Sr Asstt Manjeet Kumar Sr Asstt,Anand Katoch,05-Jun-2023 10:50 AM,05-Jun-2023 11:00 AM,techsummary_110672.pdf (364.06 KB),1.0,349534.0,Krishan Singh,INR,"2,593,158",Finance,Summary,Anand Katoch,07-Jun-2023 04:29 PM,finance_110672.pdf,BOQ Comparative Chart,Technical,Summary,Anand Katoch,05-Jun-2023 10:46 AM,technical_110672.pdf,1.0,349835.0,C M RANA,26-May-2023 03:36 PM,Rejected-Finance,Bid Rank-L3,07-Jun-2023,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,"1,500",Nil,Nil,No,PWD,NIT No.2375-2434 DT.17-05-2023-Bhawarna,2023_PWD_73646_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Additional accommodation of Govt. Sen. Sec. School at Marhoon Tehsil Dheera Distt Kangra (HP),Balance work of ground floor i/c W.S and S.I and C/o Septic tank,Please refer Tender documents. ,NA ,"27,60,202",Civil Works - Buildings,NA ,Tender,75.0,180.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,"55,200",No,fixed,,Nil,Nil,20-May-2023 01:00 PM,27-May-2023 11:30 AM,20-May-2023 01:05 PM,27-May-2023 11:00 AM,NA ,NA ,20-May-2023 01:30 PM,27-May-2023 11:00 AM,05-Jun-2023 11:00 AM,O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,349534.0,Krishan Singh,26-May-2023 11:01 AM,Accepted-AOC,L1,05-Jul-2023,2.0,ICICI NEFT/RTGS,,,.pdf,The valid enlistment/registration of contractor in appropriate class.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,349878.0,RAJINDER SINGH,26-May-2023 02:08 PM,Rejected-Finance,Bid Rank-L2,07-Jun-2023,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E-mail address and Contact Number of the Contractor/Firm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
