Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Auction Initiated Status :,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
Chief Engineer MM,"Office of Chief Engineer MM, HPSEBL, Vidyut Bhawan, Shimla 04","1,180",Nil,Nil,No,1.0,Fee,.pdf,Proof of Tender Fee,01-Apr-2023 03:00 PM,26-Apr-2023 03:30 PM,01-Apr-2023 03:00 PM,26-Apr-2023 11:00 AM,NA ,NA ,01-Apr-2023 03:00 PM,26-Apr-2023 11:00 AM,12-May-2023 03:00 PM,"2,69,130",Yes,fixed,,Nil,Nil,HPSEBL,CE(MM)-01/2023,2023_HPSEB_71806_1,Yes,Open Tender,Tender cum Auction,Goods,3.0,No,Yes,Online,No,No,No,Procurement of 11kV DTRs of assorted ratings,Procurement of 11kV DTRs of assorted ratings,As per NIT ,EMD for HP local units registered with HPSEB Ltd. is NIL and for others is Rs. 269130 ,"2,69,13,000",Electrical Work/ Equipment,Distribution Transformers  ,Tender,120.0,120.0,Office of Chief Engineer MM,171004.0,NA ,NA ,NA ,Office of Chief Engineer MM,No ,No,1.0,Corrigendum No.II,Date,,1.0,ICICI BANK,Technical,technical bid opening summary,Vimal Kumar,26-Apr-2023 04:58 PM,technical_108021.pdf,Finance,Auto Opened,Vimal Kumar,12-May-2023 04:03 PM,,Yes,BOQ Comparative Chart,12-Jul-2023,"INR 34,959,730.1",120.0,Vimal Kumar,12-Jul-2023 03:04 PM,awardsummary012023.pdf (130.00 KB),The Purchase Order was placed in 10.07.2023,1.0,344028.0,NGG Power Tech India private Limited,26-Apr-2023 10:42 AM,Not Admitted-Fee,"Others-the firm is registered with HPSEBL for DTRs upto 400KVA rating only, however the NIT is floated for 630KVA and 1000KVA. hence not admitted.",26-Apr-2023,Chief Engineers,Internal,"Sr. Executive Engineer, Assistant Engineer, Under Secretary",Suraj Pandey,11-May-2023 06:39 PM,12-May-2023 03:00 PM,techsummary_108021.pdf (400.77 KB),Sr. Executive Engineer,Internal,Assistant Engineer Junior Engineer Accounts officer,Vimal Kumar,12-Jul-2023 03:02 PM,finsummary_108021.pdf (129.59 KB),HPSEBL,2023_HPSEB_71806_1,CE(MM)-01/2023,Procurement of 11kV DTRs of assorted ratings,1.0,342177.0,Svasca Industries (India) Ltd.,INR,"34,959,730.1"
,,,,,,,,.pdf,Proof of EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Coorigendum,Technical Bid,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,2.0,342081.0,Power Star,17-Apr-2023 10:45 AM,Rejected-AOC,Not quoted L-I rates,12-Jul-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.0,PreQual/Technical,.xls,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,342177.0,Svasca Industries (India) Ltd.,15-Apr-2023 07:45 PM,Accepted-AOC,Quoted L-I rates,12-Jul-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,"Renewed BIS Certificate, ISO certificate, GST registration certificate, PAN Card copy, ITR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,"Purchase order /supply orders Copies, performance certificate and list of past supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,"GTPs, Drawings, Type test reports of offered material and undertaking of e reverse auction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,"Certificate of Registration with industry Deptt., Capacity assessment Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,List of Plant Machinery Testing Equipments used for routine test to be carried out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Affidavit of Arbitration Court cases and Blacklisting Debarred by any Govt. Semi Govt. organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,"Balance sheet of last three years, Last three years turn over duly certified by CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Power of attorney or Board of resolution to sign the bid doc and acceptance of terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Duly signed tender documents and any other requisite documents required as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
