Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 18229-289 dt 15-02-23,2023_HPIPH_69015_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"13,000",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,1.0,ICICI BANK,Improvement of LIS Thakur Gawana in GP Bhanet Haldwari in Tehsil Dadahu Distt. Sirmour HP,Providing and installation of submersible pumping machinery with allied accessories,Please refer Tender documents. ,NA ,,Pumps/Motors,NA ,Tender,120.0,90.0,Dadahu,173001.0,NA ,NA ,NA ,Nahan,No ,No,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,16-Feb-2023 05:00 PM,27-Feb-2023 11:30 AM,16-Feb-2023 05:00 PM,27-Feb-2023 11:00 AM,NA ,NA ,16-Feb-2023 05:00 PM,27-Feb-2023 11:00 AM,28-Feb-2023 03:55 PM,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,ER Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,06-Mar-2023 03:51 PM,finsummary_104050.pdf (344.97 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2023_HPIPH_69015_1,NHN-SMROO-722- 18229-289 dt 15-02-23,Improvement of LIS Thakur Gawana in GP Bhanet Haldwari in Tehsil Dadahu Distt. Sirmour HP,1.0,329218.0,KUSHDEEP SINGH,INR,"604,800",Finance,Financial Bid Opening Summary,Ashish Rana,28-Feb-2023 04:47 PM,finance_104050.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,28-Feb-2023 03:43 PM,technical_104050.pdf,10-Jul-2023,"INR 650,000",90.0,Ashish Rana,12-Jul-2023 04:09 PM,AOC.pdf (655.00 KB),Award to Contractor,ER Ashish Rana EE,Internal,Ta Supdt HDM DAO EE,Ashish Rana,28-Feb-2023 03:52 PM,28-Feb-2023 03:55 PM,techsummary_104050.pdf (317.40 KB),1.0,329162.0,Anand Bhushan,25-Feb-2023 06:05 PM,Rejected-Finance,Reject,06-Mar-2023
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,328856.0,BHAW SINGH KAPOOR CONTRACTOR,25-Feb-2023 09:48 PM,Rejected-Finance,Reject,06-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,329218.0,KUSHDEEP SINGH,26-Feb-2023 12:47 AM,Accepted-AOC,AOC,12-Jul-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,329125.0,ROYAL ENGINEERING WORKS,26-Feb-2023 09:09 PM,Rejected-Finance,Reject,06-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,329380.0,vats associates,27-Feb-2023 10:54 AM,Rejected-Finance,Reject,06-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Dealership/sub-dealership of offered PM as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of offered PM alongwith curve chart as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit specifying that the benefit availed under earnest money exemption has not been exhauste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
